Line_ID,Total_Length_km,Line_Type,Num_Substations,Annual_Cost
5667498469101465415,1238,AC735,4,366666.6666666667
-4137140436764106349,1030,AC735,3,300000.0
9057577925252590079,233,AC735,1,166666.6666666667
-4137140436764106349,1030,AC735,3,300000.0
-4137140436764106349,1030,AC735,3,300000.0
7414812685211783971,550,AC230,9,700000.0
9057577925252590079,233,AC735,1,166666.6666666667
-3475386740198031038,1350,AC120,42,2900000.0
5667498469101465415,1238,AC735,4,366666.6666666667
7892225715193063459,1350,DC450,2,233333.33333333334
6774746933879710425,450,AC735,1,166666.6666666667
-3475386740198031038,1350,AC120,42,2900000.0
-1340464004943800159,581,ACTEST,1,245000.75
-1200399912255958374,700,AC315,9,700000.0
