Line_ID,Total_Length_km,Line_Type,Num_Substations,Annual_Cost
-9033744458112151037,1238,AC735,4,366666.6666666667
6498025186398673418,1030,AC735,3,300000.0
312512387232738704,233,AC735,1,166666.6666666667
6498025186398673418,1030,AC735,3,300000.0
6498025186398673418,1030,AC735,3,300000.0
-6845621934773034302,550,AC230,9,700000.0
312512387232738704,233,AC735,1,166666.6666666667
-8614464718239208463,1350,AC120,42,2900000.0
-9033744458112151037,1238,AC735,4,366666.6666666667
-5451138677528417602,1350,DC450,2,233333.33333333334
6100420193551343681,450,AC735,1,166666.6666666667
-8614464718239208463,1350,AC120,42,2900000.0
-1943444193326499272,581,ACTEST,1,245000.75
-3596864233876167188,700,AC315,9,700000.0
