Bus_id,Node_name,Latitude,Longitude,Voltage_kV,Type,Subtype
1,Node_1,47.7370383,-69.5568875,450,node,node
2,Node_2,48.6548709,-67.8430015,450,node,node
3,Node_3,49.1890673,-65.6017718,450,node,node
4,Node_4,48.1149537,-66.2609327,735,node,node
5,Node_5,46.2022216,-74.5233463,735,node,node
6,Node_6,45.6474342,-73.3792461,735,node,node
7,Node_7,53.7567938,-77.9477231,735,node,node
8,Node_8,53.7047995,-77.7719418,735,node,node
9,Node_9,53.5875771,-76.1239926,735,node,node
10,Node_10,53.4307732,-75.0912778,735,node,node
11,Node_11,53.7438013,-73.4213559,735,node,node
12,Node_12,51.5036338,-76.1295337,735,node,node
13,Node_13,51.513848,-75.6873611,735,node,node
14,Node_14,49.7858936,-74.8410694,735,node,node
15,Node_15,49.8071778,-75.4563038,735,node,node
16,Node_16,45.5533303,-74.3034735,735,node,node
17,Node_17,45.5995652,-73.924466,735,node,node
18,Node_18,45.837338,-73.1499338,735,node,node
19,Node_19,45.2061168,-74.0068446,735,node,node
20,Node_20,45.4106519,-73.3696835,735,node,node
21,Node_21,45.4109587,-72.7379344,735,node,node
22,Node_22,45.4262936,-71.7985879,735,node,node
23,Node_23,45.8797991,-72.1392469,735,node,node
24,Node_24,47.5405027,-75.1679787,735,node,node
25,Node_25,48.7137361,-72.8452593,735,node,node
26,Node_26,48.4375191,-71.0654742,735,node,node
27,Node_27,46.8387013,-71.5763158,735,node,node
28,Node_28,46.9064028,-71.1862234,735,node,node
29,Node_29,46.7222176,-71.0490041,735,node,node
30,Node_30,46.1620946,-70.9279886,735,node,node
31,Node_31,49.7965164,-68.7823319,735,node,node
32,Node_32,49.3434837,-68.2572221,735,node,node
33,Node_33,48.340176,-69.5229318,735,node,node
34,Node_34,50.2050486,-66.8400285,735,node,node
35,Node_35,52.0843754,-65.9554024,735,node,node
36,Node_36,50.5743153,-63.0989383,735,node,node
37,Node_37,48.2296749,-70.1959341,735,node,node
38,Node_38,56.214040,-73.866780,450,node,node
39,Node_39,49.050960,-64.770190,230,node,node
40,Node_40,47.955100,-78.077370,450,node,node
41,Node_41,50.881790,-59.240460,230,node,node
42,Node_42,47.488410,-73.026560,735,node,node
43,Hydro_Robert-Bourassa,53.781944,-77.532778,735,generator,hydro
44,Hydro_La Grande-4,53.886667,-73.465278,735,generator,hydro
45,Hydro_La Grande-3,53.727721,-75.988438,735,generator,hydro
46,Hydro_La grande-2-A,53.779444,-77.549167,735,generator,hydro
47,Hydro_Beauharnois_Francis,45.313216,-73.877952,735,generator,hydro
48,Hydro_Beauharnois_Kaplan,45.313216,-73.877952,735,generator,hydro
49,Hydro_Manic-5,50.639722,-68.726944,450,generator,hydro
50,Hydro_La grande-1,53.734444,-78.573889,735,generator,hydro
51,Hydro_Rene-Levesque,49.740833,-68.594444,735,generator,hydro
52,Hydro_Jean-Lesage,49.321666,-68.347221,735,generator,hydro
53,Hydro_Bersimis-1,49.295000,-69.551667,450,generator,hydro
54,Hydro_Manic-5-PA,50.639805,-68.732893,450,generator,hydro
55,Hydro_Outardes-3,49.557075,-68.722249,735,generator,hydro
56,Hydro_Sainte-Marguerite-3,50.705000,-66.779722,450,generator,hydro
57,Hydro_Laforge-1,54.170556,-72.615278,450,generator,hydro
58,Hydro_Bersimis-2,49.175278,-69.229167,450,generator,hydro
59,Hydro_Outardes-4,49.703333,-68.903611,735,generator,hydro
60,Hydro_Bernard-Landry,52.181885,-76.050483,450,generator,hydro
61,Hydro_Carillon,45.568611,-74.383611,735,generator,hydro
62,Hydro_Romaine-2,50.623732,-63.190935,735,generator,hydro
63,Hydro_Toulnustouc,49.970556,-68.159444,735,generator,hydro
64,Hydro_Outardes-2,49.144563,-68.389785,735,generator,hydro
65,Hydro_Eastmain-1,52.181667,-76.051389,450,generator,hydro
66,Hydro_Brisay,54.454444,-70.519167,230,generator,hydro
67,Hydro_Romaine-3,51.114188,-63.400227,450,generator,hydro
68,Hydro_Peribonka,49.507500,-71.181943,230,generator,hydro
69,Hydro_Laforge-2,54.591667,-71.270833,230,generator,hydro
