x,y,LOCAL_DAY,PRECIP_AMOUNT_FLAG,VISIBILITY,STATION_PRESSURE_FLAG,WIND_SPEED_FLAG,WINDCHILL,ID,LOCAL_DATE,UTC_MONTH,WIND_SPEED,WIND_DIRECTION,UTC_YEAR,VISIBILITY_FLAG,UTC_DAY,CLIMATE_IDENTIFIER,WINDCHILL_FLAG,LOCAL_YEAR,PROVINCE_CODE,TEMP_FLAG,STATION_NAME,WEATHER_ENG_DESC,HUMIDEX,RELATIVE_HUMIDITY_FLAG,TEMP,RELATIVE_HUMIDITY,STATION_PRESSURE,UTC_DATE,WIND_DIRECTION_FLAG,LOCAL_HOUR,DEW_POINT_TEMP,WEATHER_FRE_DESC,LOCAL_MONTH,DEW_POINT_TEMP_FLAG,HUMIDEX_FLAG,PRECIP_AMOUNT
-71.14833333333333,47.32277777777778,31,,,,,,7042395.2024.5.31.17,2024-05-31 17:00:00,5,9,36,2024,,31,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,16.7,35,93.81,2024-05-31T22:00:00,,17,1.0,ND,5,,,0
-71.14833333333333,47.32277777777778,31,,,,,,7042395.2024.5.31.18,2024-05-31 18:00:00,5,6,1,2024,,31,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,15.4,41,93.86,2024-05-31T23:00:00,,18,2.4,ND,5,,,0
-71.14833333333333,47.32277777777778,31,,,,,,7042395.2024.5.31.19,2024-05-31 19:00:00,6,5,33,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,13.1,46,93.91,2024-06-01T00:00:00,,19,1.7,ND,5,,,0
-71.14833333333333,47.32277777777778,31,,,,,,7042395.2024.5.31.20,2024-05-31 20:00:00,6,5,33,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,8.1,70,93.99,2024-06-01T01:00:00,,20,3.0,ND,5,,,0
-71.14833333333333,47.32277777777778,31,,,,,,7042395.2024.5.31.21,2024-05-31 21:00:00,6,1,33,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,5.9,78,94.05,2024-06-01T02:00:00,,21,2.5,ND,5,,,0
-71.14833333333333,47.32277777777778,31,,,,,,7042395.2024.5.31.22,2024-05-31 22:00:00,6,1,0,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,4.0,86,94.05,2024-06-01T03:00:00,,22,1.9,ND,5,,,0
-71.14833333333333,47.32277777777778,31,,,,,,7042395.2024.5.31.23,2024-05-31 23:00:00,6,2,31,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,2.8,90,94.07,2024-06-01T04:00:00,,23,1.3,ND,5,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.0,2024-06-01 00:00:00,6,2,30,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,1.7,92,94.02,2024-06-01T05:00:00,,0,0.5,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.1,2024-06-01 01:00:00,6,1,30,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,0.8,93,94.04,2024-06-01T06:00:00,,1,-0.3,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.2,2024-06-01 02:00:00,6,1,31,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,0.1,93,94.04,2024-06-01T07:00:00,,2,-0.8,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,-1,7042395.2024.6.1.3,2024-06-01 03:00:00,6,3,30,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,-0.4,96,94.07,2024-06-01T08:00:00,,3,-1.0,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.4,2024-06-01 04:00:00,6,0,0,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,-0.8,96,94.12,2024-06-01T09:00:00,,4,-1.4,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.5,2024-06-01 05:00:00,6,1,28,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,0.5,97,94.18,2024-06-01T10:00:00,,5,0.1,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.6,2024-06-01 06:00:00,6,0,0,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,7.5,80,94.19,2024-06-01T11:00:00,,6,4.4,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.7,2024-06-01 07:00:00,6,4,1,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,15.6,47,94.18,2024-06-01T12:00:00,,7,4.4,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.8,2024-06-01 08:00:00,6,11,33,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,17.2,33,94.2,2024-06-01T13:00:00,,8,0.7,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.9,2024-06-01 09:00:00,6,10,2,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,18.7,29,94.16,2024-06-01T14:00:00,,9,0.1,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.10,2024-06-01 10:00:00,6,14,32,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,19.5,25,94.14,2024-06-01T15:00:00,,10,-1.1,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.11,2024-06-01 11:00:00,6,8,1,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,21.0,26,94.11,2024-06-01T16:00:00,,11,0.7,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.12,2024-06-01 12:00:00,6,11,31,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,21.4,24,94.06,2024-06-01T17:00:00,,12,-0.2,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.13,2024-06-01 13:00:00,6,11,16,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,20.4,37,94.04,2024-06-01T18:00:00,,13,5.2,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.14,2024-06-01 14:00:00,6,8,15,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,20.8,36,94.03,2024-06-01T19:00:00,,14,5.3,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.15,2024-06-01 15:00:00,6,9,18,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,20.3,34,94.02,2024-06-01T20:00:00,,15,4.1,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.16,2024-06-01 16:00:00,6,8,15,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,19.7,35,94.04,2024-06-01T21:00:00,,16,3.6,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.17,2024-06-01 17:00:00,6,6,18,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,19.2,35,94.03,2024-06-01T22:00:00,,17,3.4,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.18,2024-06-01 18:00:00,6,7,15,2024,,1,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,17.3,37,94.08,2024-06-01T23:00:00,,18,2.5,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.19,2024-06-01 19:00:00,6,3,25,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,15.2,45,94.09,2024-06-02T00:00:00,,19,3.3,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.20,2024-06-01 20:00:00,6,4,31,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,11.2,64,94.11,2024-06-02T01:00:00,,20,4.6,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.21,2024-06-01 21:00:00,6,1,28,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,9.7,70,94.13,2024-06-02T02:00:00,,21,4.5,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.22,2024-06-01 22:00:00,6,0,0,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,8.5,75,94.11,2024-06-02T03:00:00,,22,4.3,ND,6,,,0
-71.14833333333333,47.32277777777778,1,,,,,,7042395.2024.6.1.23,2024-06-01 23:00:00,6,1,0,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,7.7,79,94.08,2024-06-02T04:00:00,,23,4.4,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.0,2024-06-02 00:00:00,6,1,0,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,6.0,83,94.07,2024-06-02T05:00:00,,0,3.4,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.1,2024-06-02 01:00:00,6,1,30,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,4.4,88,94.06,2024-06-02T06:00:00,,1,2.5,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.2,2024-06-02 02:00:00,6,2,30,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,3.2,90,94.02,2024-06-02T07:00:00,,2,1.6,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.3,2024-06-02 03:00:00,6,2,30,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,2.4,92,93.99,2024-06-02T08:00:00,,3,1.3,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.4,2024-06-02 04:00:00,6,0,0,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,1.7,93,93.99,2024-06-02T09:00:00,,4,0.8,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.5,2024-06-02 05:00:00,6,0,0,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,3.3,94,93.99,2024-06-02T10:00:00,,5,2.4,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.6,2024-06-02 06:00:00,6,0,0,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,8.7,73,93.99,2024-06-02T11:00:00,,6,4.1,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.7,2024-06-02 07:00:00,6,1,0,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,14.2,50,93.97,2024-06-02T12:00:00,,7,4.0,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.8,2024-06-02 08:00:00,6,4,12,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,18.5,30,93.95,2024-06-02T13:00:00,,8,0.7,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.9,2024-06-02 09:00:00,6,5,12,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,20.3,28,93.91,2024-06-02T14:00:00,,9,1.1,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.10,2024-06-02 10:00:00,6,9,23,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,22.8,27,93.87,2024-06-02T15:00:00,,10,3.0,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.11,2024-06-02 11:00:00,6,9,23,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,23.2,26,93.8,2024-06-02T16:00:00,,11,2.8,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.12,2024-06-02 12:00:00,6,13,24,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,23.5,26,93.74,2024-06-02T17:00:00,,12,2.7,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.13,2024-06-02 13:00:00,6,11,24,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,24.3,28,93.67,2024-06-02T18:00:00,,13,4.6,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.14,2024-06-02 14:00:00,6,16,25,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,24.7,28,93.62,2024-06-02T19:00:00,,14,5.2,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.15,2024-06-02 15:00:00,6,12,24,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,24.9,29,93.57,2024-06-02T20:00:00,,15,5.5,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.16,2024-06-02 16:00:00,6,14,22,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,24.2,28,93.54,2024-06-02T21:00:00,,16,4.6,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.17,2024-06-02 17:00:00,6,12,23,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,23.9,29,93.52,2024-06-02T22:00:00,,17,4.9,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.18,2024-06-02 18:00:00,6,9,24,2024,,2,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,21.6,36,93.54,2024-06-02T23:00:00,,18,5.8,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.19,2024-06-02 19:00:00,6,7,26,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,20.4,39,93.58,2024-06-03T00:00:00,,19,5.8,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.20,2024-06-02 20:00:00,6,2,33,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,15.4,59,93.65,2024-06-03T01:00:00,,20,7.3,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.21,2024-06-02 21:00:00,6,1,30,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,12.1,73,93.7,2024-06-03T02:00:00,,21,7.4,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.22,2024-06-02 22:00:00,6,1,30,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,10.0,81,93.67,2024-06-03T03:00:00,,22,6.9,ND,6,,,0
-71.14833333333333,47.32277777777778,2,,,,,,7042395.2024.6.2.23,2024-06-02 23:00:00,6,2,30,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,8.5,85,93.66,2024-06-03T04:00:00,,23,6.1,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.0,2024-06-03 00:00:00,6,1,0,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,7.5,88,93.65,2024-06-03T05:00:00,,0,5.6,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.1,2024-06-03 01:00:00,6,3,29,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,6.7,91,93.64,2024-06-03T06:00:00,,1,5.2,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.2,2024-06-03 02:00:00,6,2,31,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,5.9,93,93.61,2024-06-03T07:00:00,,2,4.8,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.3,2024-06-03 03:00:00,6,2,28,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,5.0,94,93.63,2024-06-03T08:00:00,,3,4.2,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.4,2024-06-03 04:00:00,6,2,30,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,4.6,95,93.64,2024-06-03T09:00:00,,4,3.8,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.5,2024-06-03 05:00:00,6,1,32,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,6.0,96,93.67,2024-06-03T10:00:00,,5,5.5,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.6,2024-06-03 06:00:00,6,0,0,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,12.3,76,93.7,2024-06-03T11:00:00,,6,8.2,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.7,2024-06-03 07:00:00,6,0,0,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,18.1,57,93.71,2024-06-03T12:00:00,,7,9.4,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.8,2024-06-03 08:00:00,6,6,6,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,22.5,34,93.7,2024-06-03T13:00:00,,8,5.9,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.9,2024-06-03 09:00:00,6,8,5,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,23.1,27,93.68,2024-06-03T14:00:00,,9,3.1,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.10,2024-06-03 10:00:00,6,9,7,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,24.9,27,93.68,2024-06-03T15:00:00,,10,4.5,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.11,2024-06-03 11:00:00,6,8,30,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,24.7,24,93.68,2024-06-03T16:00:00,,11,2.5,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.12,2024-06-03 12:00:00,6,7,6,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,24.8,25,93.67,2024-06-03T17:00:00,,12,3.6,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.13,2024-06-03 13:00:00,6,10,15,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,24.0,34,93.68,2024-06-03T18:00:00,,13,7.2,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.14,2024-06-03 14:00:00,6,7,16,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,25,,25.1,31,93.66,2024-06-03T19:00:00,,14,6.8,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.15,2024-06-03 15:00:00,6,9,15,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,24.1,33,93.68,2024-06-03T20:00:00,,15,6.8,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.16,2024-06-03 16:00:00,6,7,15,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,23.5,35,93.69,2024-06-03T21:00:00,,16,7.3,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.17,2024-06-03 17:00:00,6,9,12,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,23.6,31,93.7,2024-06-03T22:00:00,,17,5.7,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.18,2024-06-03 18:00:00,6,2,9,2024,,3,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,22.9,34,93.71,2024-06-03T23:00:00,,18,6.0,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.19,2024-06-03 19:00:00,6,4,31,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,18.3,53,93.74,2024-06-04T00:00:00,,19,8.6,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.20,2024-06-03 20:00:00,6,3,27,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,14.5,66,93.79,2024-06-04T01:00:00,,20,8.3,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.21,2024-06-03 21:00:00,6,2,31,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,12.0,74,93.83,2024-06-04T02:00:00,,21,7.5,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.22,2024-06-03 22:00:00,6,2,28,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,10.5,79,93.87,2024-06-04T03:00:00,,22,7.0,ND,6,,,0
-71.14833333333333,47.32277777777778,3,,,,,,7042395.2024.6.3.23,2024-06-03 23:00:00,6,3,30,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,9.2,82,93.91,2024-06-04T04:00:00,,23,6.3,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.0,2024-06-04 00:00:00,6,2,31,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,7.8,86,93.94,2024-06-04T05:00:00,,0,5.6,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.1,2024-06-04 01:00:00,6,2,27,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,7.2,89,93.94,2024-06-04T06:00:00,,1,5.5,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.2,2024-06-04 02:00:00,6,2,31,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,6.8,92,93.93,2024-06-04T07:00:00,,2,5.6,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.3,2024-06-04 03:00:00,6,2,29,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,6.0,93,93.91,2024-06-04T08:00:00,,3,4.9,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.4,2024-06-04 04:00:00,6,1,0,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,5.6,94,93.96,2024-06-04T09:00:00,,4,4.6,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.5,2024-06-04 05:00:00,6,0,0,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,7.0,96,93.94,2024-06-04T10:00:00,,5,6.4,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.6,2024-06-04 06:00:00,6,0,0,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,13.0,78,93.95,2024-06-04T11:00:00,,6,9.2,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.7,2024-06-04 07:00:00,6,1,0,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,17.9,62,93.91,2024-06-04T12:00:00,,7,10.4,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.8,2024-06-04 08:00:00,6,3,12,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,22.3,43,93.88,2024-06-04T13:00:00,,8,9.2,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.9,2024-06-04 09:00:00,6,3,6,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,24.1,34,93.88,2024-06-04T14:00:00,,9,7.4,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.10,2024-06-04 10:00:00,6,7,13,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,22.1,47,93.9,2024-06-04T15:00:00,,10,10.3,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.11,2024-06-04 11:00:00,6,5,17,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,22.3,44,93.89,2024-06-04T16:00:00,,11,9.6,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.12,2024-06-04 12:00:00,6,9,20,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,22.5,46,93.89,2024-06-04T17:00:00,,12,10.2,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.13,2024-06-04 13:00:00,6,10,14,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,25,,23.2,44,93.84,2024-06-04T18:00:00,,13,10.3,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.14,2024-06-04 14:00:00,6,6,24,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,22.4,41,93.83,2024-06-04T19:00:00,,14,8.5,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.15,2024-06-04 15:00:00,6,7,14,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,22.3,43,93.8,2024-06-04T20:00:00,,15,9.1,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.16,2024-06-04 16:00:00,6,7,14,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,22.3,43,93.78,2024-06-04T21:00:00,,16,9.2,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.17,2024-06-04 17:00:00,6,5,15,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,22.1,41,93.75,2024-06-04T22:00:00,,17,8.2,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.18,2024-06-04 18:00:00,6,4,17,2024,,4,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,21.4,42,93.73,2024-06-04T23:00:00,,18,7.9,ND,6,,,0
-71.14833333333333,47.32277777777778,4,,,,,,7042395.2024.6.4.19,2024-06-04 19:00:00,6,4,31,2024,,5,7042395,,2024,QC,,FORET MONTMORENCY RCS,NA,,,18.1,63,93.74,2024-06-05T00:00:00,,19,10.9,ND,6,,,0
