x,y,WIND_DIRECTION_FLAG,UTC_MONTH,WIND_SPEED_FLAG,WINDCHILL_FLAG,TEMP,PRECIP_AMOUNT_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,UTC_DAY,WIND_SPEED,LOCAL_YEAR,PROVINCE_CODE,STATION_PRESSURE_FLAG,DEW_POINT_TEMP,UTC_YEAR,HUMIDEX_FLAG,WEATHER_ENG_DESC,VISIBILITY_FLAG,ID,RELATIVE_HUMIDITY_FLAG,VISIBILITY,UTC_DATE,LOCAL_DAY,WIND_DIRECTION,STATION_NAME,DEW_POINT_TEMP_FLAG,RELATIVE_HUMIDITY,WEATHER_FRE_DESC,LOCAL_HOUR,TEMP_FLAG,STATION_PRESSURE,LOCAL_DATE,WINDCHILL,HUMIDEX,PRECIP_AMOUNT
-64.47972222222222,48.77527777777778,,1,,,-7.4,M,7052602,1,27,9,2024,QC,,-9.2,2024,,NA,M,7052602.2024.1.27.4,,,2024-01-27T09:00:00,27,26,GASPE A,,87,ND,4,,101.95,2024-01-27 04:00:00,-12,,
-64.47972222222222,48.77527777777778,,1,,,-6.6,M,7052602,1,27,9,2024,QC,,-8.8,2024,,NA,M,7052602.2024.1.27.5,,,2024-01-27T10:00:00,27,27,GASPE A,,85,ND,5,,101.9,2024-01-27 05:00:00,-11,,
-64.47972222222222,48.77527777777778,,1,,,-6.0,M,7052602,1,27,7,2024,QC,,-8.6,2024,,NA,M,7052602.2024.1.27.6,,,2024-01-27T11:00:00,27,28,GASPE A,,82,ND,6,,101.89,2024-01-27 06:00:00,-9,,
-64.47972222222222,48.77527777777778,,1,,,-6.4,M,7052602,1,27,7,2024,QC,,-8.6,2024,,NA,M,7052602.2024.1.27.7,,,2024-01-27T12:00:00,27,29,GASPE A,,85,ND,7,,101.91,2024-01-27 07:00:00,-10,,
-64.47972222222222,48.77527777777778,,1,,,-6.3,M,7052602,1,27,4,2024,QC,,-8.5,2024,,NA,M,7052602.2024.1.27.8,,,2024-01-27T13:00:00,27,29,GASPE A,,84,ND,8,,101.92,2024-01-27 08:00:00,-8,,
-64.47972222222222,48.77527777777778,,1,,,-5.5,M,7052602,1,27,4,2024,QC,,-7.8,2024,,NA,M,7052602.2024.1.27.9,,,2024-01-27T14:00:00,27,25,GASPE A,,84,ND,9,,101.93,2024-01-27 09:00:00,-7,,
-64.47972222222222,48.77527777777778,,1,,,-4.5,M,7052602,1,27,4,2024,QC,,-7.8,2024,,NA,M,7052602.2024.1.27.10,,,2024-01-27T15:00:00,27,25,GASPE A,,78,ND,10,,101.94,2024-01-27 10:00:00,-6,,
-64.47972222222222,48.77527777777778,,1,,,-3.6,M,7052602,1,27,3,2024,QC,,-7.7,2024,,NA,M,7052602.2024.1.27.11,,,2024-01-27T16:00:00,27,24,GASPE A,,74,ND,11,,101.9,2024-01-27 11:00:00,-5,,
-64.47972222222222,48.77527777777778,,1,,,-2.9,M,7052602,1,27,1,2024,QC,,-7.5,2024,,NA,M,7052602.2024.1.27.12,,,2024-01-27T17:00:00,27,32,GASPE A,,71,ND,12,,101.8,2024-01-27 12:00:00,-3,,
-64.47972222222222,48.77527777777778,,1,,,-2.5,M,7052602,1,27,8,2024,QC,,-7.3,2024,,NA,M,7052602.2024.1.27.13,,,2024-01-27T18:00:00,27,31,GASPE A,,70,ND,13,,101.72,2024-01-27 13:00:00,-6,,
-64.47972222222222,48.77527777777778,,1,,,-2.3,M,7052602,1,27,9,2024,QC,,-8.0,2024,,NA,M,7052602.2024.1.27.14,,,2024-01-27T19:00:00,27,29,GASPE A,,65,ND,14,,101.63,2024-01-27 14:00:00,-6,,
-64.47972222222222,48.77527777777778,,1,,,-2.4,M,7052602,1,27,12,2024,QC,,-8.0,2024,,NA,M,7052602.2024.1.27.15,,,2024-01-27T20:00:00,27,27,GASPE A,,66,ND,15,,101.58,2024-01-27 15:00:00,-7,,
-64.47972222222222,48.77527777777778,,1,,,-2.8,M,7052602,1,27,16,2024,QC,,-7.7,2024,,NA,M,7052602.2024.1.27.16,,,2024-01-27T21:00:00,27,25,GASPE A,,69,ND,16,,101.55,2024-01-27 16:00:00,-8,,
-64.47972222222222,48.77527777777778,,1,,,-2.9,M,7052602,1,27,2,2024,QC,,-7.9,2024,,NA,M,7052602.2024.1.27.17,,,2024-01-27T22:00:00,27,23,GASPE A,,68,ND,17,,101.5,2024-01-27 17:00:00,-4,,
-64.47972222222222,48.77527777777778,,1,,,-3.5,M,7052602,1,27,6,2024,QC,,-7.4,2024,,NA,M,7052602.2024.1.27.18,,,2024-01-27T23:00:00,27,25,GASPE A,,74,ND,18,,101.42,2024-01-27 18:00:00,-6,,
-64.47972222222222,48.77527777777778,,1,,,-3.1,M,7052602,1,28,5,2024,QC,,-7.4,2024,,NA,M,7052602.2024.1.27.19,,,2024-01-28T00:00:00,27,27,GASPE A,,72,ND,19,,101.39,2024-01-27 19:00:00,-5,,
-64.47972222222222,48.77527777777778,,1,,,-2.9,M,7052602,1,28,10,2024,QC,,-7.1,2024,,NA,M,7052602.2024.1.27.20,,,2024-01-28T01:00:00,27,28,GASPE A,,73,ND,20,,101.37,2024-01-27 20:00:00,-7,,
-64.47972222222222,48.77527777777778,,1,,,-2.9,M,7052602,1,28,11,2024,QC,,-6.9,2024,,NA,M,7052602.2024.1.27.21,,,2024-01-28T02:00:00,27,26,GASPE A,,74,ND,21,,101.32,2024-01-27 21:00:00,-7,,
-64.47972222222222,48.77527777777778,,1,,,-3.3,M,7052602,1,28,1,2024,QC,,-6.7,2024,,NA,M,7052602.2024.1.27.22,,,2024-01-28T03:00:00,27,1,GASPE A,,77,ND,22,,101.26,2024-01-27 22:00:00,-4,,
-64.47972222222222,48.77527777777778,,1,,,-3.8,M,7052602,1,28,3,2024,QC,,-6.4,2024,,NA,M,7052602.2024.1.27.23,,,2024-01-28T04:00:00,27,5,GASPE A,,82,ND,23,,101.18,2024-01-27 23:00:00,-5,,
-64.47972222222222,48.77527777777778,,1,,,-4.2,M,7052602,1,28,5,2024,QC,,-6.7,2024,,NA,M,7052602.2024.1.28.0,,,2024-01-28T05:00:00,28,16,GASPE A,,83,ND,0,,101.14,2024-01-28 00:00:00,-6,,
-64.47972222222222,48.77527777777778,,1,,,-4.0,M,7052602,1,28,6,2024,QC,,-6.4,2024,,NA,M,7052602.2024.1.28.1,,,2024-01-28T06:00:00,28,1,GASPE A,,83,ND,1,,101.08,2024-01-28 01:00:00,-7,,
-64.47972222222222,48.77527777777778,,1,,,-4.5,M,7052602,1,28,1,2024,QC,,-6.3,2024,,NA,M,7052602.2024.1.28.2,,,2024-01-28T07:00:00,28,17,GASPE A,,87,ND,2,,100.98,2024-01-28 02:00:00,-5,,
-64.47972222222222,48.77527777777778,,1,,,-5.0,M,7052602,1,28,3,2024,QC,,-6.7,2024,,NA,M,7052602.2024.1.28.3,,,2024-01-28T08:00:00,28,8,GASPE A,,88,ND,3,,100.9,2024-01-28 03:00:00,-6,,
-64.47972222222222,48.77527777777778,,1,,,-7.7,M,7052602,1,28,3,2024,QC,,-9.4,2024,,NA,M,7052602.2024.1.28.4,,,2024-01-28T09:00:00,28,26,GASPE A,,88,ND,4,,100.89,2024-01-28 04:00:00,-9,,
-64.47972222222222,48.77527777777778,,1,,,-8.6,M,7052602,1,28,1,2024,QC,,-9.4,2024,,NA,M,7052602.2024.1.28.5,,,2024-01-28T10:00:00,28,17,GASPE A,,94,ND,5,,100.84,2024-01-28 05:00:00,-9,,
-64.47972222222222,48.77527777777778,,1,,,-10.3,M,7052602,1,28,3,2024,QC,,-11.2,2024,,NA,M,7052602.2024.1.28.6,,,2024-01-28T11:00:00,28,27,GASPE A,,93,ND,6,,100.87,2024-01-28 06:00:00,-12,,
-64.47972222222222,48.77527777777778,,1,,,-9.7,M,7052602,1,28,1,2024,QC,,-10.5,2024,,NA,M,7052602.2024.1.28.7,,,2024-01-28T12:00:00,28,0,GASPE A,,94,ND,7,,100.88,2024-01-28 07:00:00,-10,,
-64.47972222222222,48.77527777777778,,1,,,-7.9,M,7052602,1,28,5,2024,QC,,-8.9,2024,,NA,M,7052602.2024.1.28.8,,,2024-01-28T13:00:00,28,25,GASPE A,,93,ND,8,,100.88,2024-01-28 08:00:00,-11,,
-64.47972222222222,48.77527777777778,,1,,,-5.9,M,7052602,1,28,2,2024,QC,,-8.0,2024,,NA,M,7052602.2024.1.28.9,,,2024-01-28T14:00:00,28,28,GASPE A,,85,ND,9,,100.86,2024-01-28 09:00:00,-7,,
-64.47972222222222,48.77527777777778,,1,,,-3.5,M,7052602,1,28,2,2024,QC,,-6.4,2024,,NA,M,7052602.2024.1.28.10,,,2024-01-28T15:00:00,28,2,GASPE A,,81,ND,10,,100.84,2024-01-28 10:00:00,-4,,
-64.47972222222222,48.77527777777778,,1,,,-2.5,M,7052602,1,28,1,2024,QC,,-5.9,2024,,NA,M,7052602.2024.1.28.11,,,2024-01-28T16:00:00,28,0,GASPE A,,77,ND,11,,100.79,2024-01-28 11:00:00,-3,,
-64.47972222222222,48.77527777777778,,1,,,-0.3,M,7052602,1,28,2,2024,QC,,-5.2,2024,,NA,M,7052602.2024.1.28.12,,,2024-01-28T17:00:00,28,17,GASPE A,,70,ND,12,,100.74,2024-01-28 12:00:00,-1,,
-64.47972222222222,48.77527777777778,,1,,,2.1,M,7052602,1,28,12,2024,QC,,-4.0,2024,,NA,M,7052602.2024.1.28.13,,,2024-01-28T18:00:00,28,27,GASPE A,,64,ND,13,,100.69,2024-01-28 13:00:00,,,
-64.47972222222222,48.77527777777778,,1,,,2.3,M,7052602,1,28,4,2024,QC,,-3.8,2024,,NA,M,7052602.2024.1.28.14,,,2024-01-28T19:00:00,28,24,GASPE A,,64,ND,14,,100.64,2024-01-28 14:00:00,,,
-64.47972222222222,48.77527777777778,,1,,,0.4,M,7052602,1,28,10,2024,QC,,-3.6,2024,,NA,M,7052602.2024.1.28.15,,,2024-01-28T20:00:00,28,9,GASPE A,,74,ND,15,,100.65,2024-01-28 15:00:00,,,
-64.47972222222222,48.77527777777778,,1,,,0.7,M,7052602,1,28,11,2024,QC,,-3.5,2024,,NA,M,7052602.2024.1.28.16,,,2024-01-28T21:00:00,28,7,GASPE A,,73,ND,16,,100.7,2024-01-28 16:00:00,,,
-64.47972222222222,48.77527777777778,,1,,,-0.8,M,7052602,1,28,8,2024,QC,,-4.0,2024,,NA,M,7052602.2024.1.28.17,,,2024-01-28T22:00:00,28,6,GASPE A,,79,ND,17,,100.7,2024-01-28 17:00:00,-4,,
-64.47972222222222,48.77527777777778,,1,,,-3.1,M,7052602,1,28,5,2024,QC,,-5.0,2024,,NA,M,7052602.2024.1.28.18,,,2024-01-28T23:00:00,28,23,GASPE A,,87,ND,18,,100.75,2024-01-28 18:00:00,-5,,
-64.47972222222222,48.77527777777778,,1,,,-4.4,M,7052602,1,29,3,2024,QC,,-5.6,2024,,NA,M,7052602.2024.1.28.19,,,2024-01-29T00:00:00,28,26,GASPE A,,91,ND,19,,100.84,2024-01-28 19:00:00,-6,,
-64.47972222222222,48.77527777777778,,1,,,-5.0,M,7052602,1,29,3,2024,QC,,-5.6,2024,,NA,M,7052602.2024.1.28.20,,,2024-01-29T01:00:00,28,33,GASPE A,,96,ND,20,,100.87,2024-01-28 20:00:00,-6,,
-64.47972222222222,48.77527777777778,,1,,,-6.7,M,7052602,1,29,7,2024,QC,,-7.3,2024,,NA,M,7052602.2024.1.28.21,,,2024-01-29T02:00:00,28,26,GASPE A,,96,ND,21,,100.86,2024-01-28 21:00:00,-10,,
-64.47972222222222,48.77527777777778,,1,,,-7.1,M,7052602,1,29,3,2024,QC,,-7.6,2024,,NA,M,7052602.2024.1.28.22,,,2024-01-29T03:00:00,28,29,GASPE A,,96,ND,22,,100.82,2024-01-28 22:00:00,-9,,
-64.47972222222222,48.77527777777778,,1,,,-7.8,M,7052602,1,29,3,2024,QC,,-8.5,2024,,NA,M,7052602.2024.1.28.23,,,2024-01-29T04:00:00,28,15,GASPE A,,94,ND,23,,100.86,2024-01-28 23:00:00,-9,,
-64.47972222222222,48.77527777777778,,1,,,-4.0,M,7052602,1,29,16,2024,QC,,-5.7,2024,,NA,M,7052602.2024.1.29.0,,,2024-01-29T05:00:00,29,7,GASPE A,,88,ND,0,,100.99,2024-01-29 00:00:00,-10,,
-64.47972222222222,48.77527777777778,,1,,,-5.1,M,7052602,1,29,18,2024,QC,,-7.8,2024,,NA,M,7052602.2024.1.29.1,,,2024-01-29T06:00:00,29,7,GASPE A,,81,ND,1,,101.1,2024-01-29 01:00:00,-11,,
-64.47972222222222,48.77527777777778,,1,,,-7.0,M,7052602,1,29,19,2024,QC,,-8.9,2024,,NA,M,7052602.2024.1.29.2,,,2024-01-29T07:00:00,29,7,GASPE A,,86,ND,2,,101.15,2024-01-29 02:00:00,-14,,
-64.47972222222222,48.77527777777778,,1,,,-8.3,M,7052602,1,29,12,2024,QC,,-11.3,2024,,NA,M,7052602.2024.1.29.3,,,2024-01-29T08:00:00,29,5,GASPE A,,79,ND,3,,101.14,2024-01-29 03:00:00,-14,,
