x,y,TEMP_FLAG,VISIBILITY_FLAG,LOCAL_DATE,LOCAL_HOUR,DEW_POINT_TEMP_FLAG,PROVINCE_CODE,PRECIP_AMOUNT_FLAG,STATION_NAME,WIND_DIRECTION,STATION_PRESSURE_FLAG,WEATHER_FRE_DESC,WIND_SPEED_FLAG,HUMIDEX,WIND_DIRECTION_FLAG,VISIBILITY,UTC_YEAR,LOCAL_DAY,UTC_MONTH,HUMIDEX_FLAG,UTC_DAY,UTC_DATE,STATION_PRESSURE,WEATHER_ENG_DESC,WINDCHILL_FLAG,DEW_POINT_TEMP,CLIMATE_IDENTIFIER,TEMP,LOCAL_YEAR,WINDCHILL,RELATIVE_HUMIDITY_FLAG,ID,WIND_SPEED,RELATIVE_HUMIDITY,PRECIP_AMOUNT,LOCAL_MONTH
-64.48333333333333,48.78333333333333,,,2024-03-17 20:00:00,20,,QC,,GASPE AIRPORT,8,,ND,,,,,2024,17,3,,18,2024-03-18T01:00:00,99.67,NA,,-0.2,7052603,0.4,2024,,,7052603.2024.3.17.20,15,96,0.1,3
-64.48333333333333,48.78333333333333,,,2024-03-17 21:00:00,21,,QC,,GASPE AIRPORT,7,,ND,,,,,2024,17,3,,18,2024-03-18T02:00:00,99.58,NA,,-0.1,7052603,0.5,2024,,,7052603.2024.3.17.21,15,95,0.1,3
-64.48333333333333,48.78333333333333,,,2024-03-17 22:00:00,22,,QC,,GASPE AIRPORT,10,,ND,,,,,2024,17,3,,18,2024-03-18T03:00:00,99.48,NA,,-0.3,7052603,0.4,2024,,,7052603.2024.3.17.22,16,95,0.3,3
-64.48333333333333,48.78333333333333,,,2024-03-17 23:00:00,23,,QC,,GASPE AIRPORT,10,,ND,,,,,2024,17,3,,18,2024-03-18T04:00:00,99.39,NA,,-0.5,7052603,0.0,2024,-5,,7052603.2024.3.17.23,20,97,0.6,3
-64.48333333333333,48.78333333333333,,,2024-03-18 00:00:00,0,,QC,,GASPE AIRPORT,10,,ND,,,,,2024,18,3,,18,2024-03-18T05:00:00,99.31,NA,,-0.6,7052603,0.0,2024,-5,,7052603.2024.3.18.0,18,96,0.5,3
-64.48333333333333,48.78333333333333,,,2024-03-18 01:00:00,1,,QC,,GASPE AIRPORT,10,,ND,,,,,2024,18,3,,18,2024-03-18T06:00:00,99.19,NA,,-0.3,7052603,0.1,2024,,,7052603.2024.3.18.1,15,97,0.3,3
-64.48333333333333,48.78333333333333,,,2024-03-18 02:00:00,2,,QC,,GASPE AIRPORT,8,,ND,,,,,2024,18,3,,18,2024-03-18T07:00:00,99.07,NA,,-0.6,7052603,-0.1,2024,-5,,7052603.2024.3.18.2,17,96,0.1,3
-64.48333333333333,48.78333333333333,,,2024-03-18 03:00:00,3,,QC,,GASPE AIRPORT,7,,ND,,,,,2024,18,3,,18,2024-03-18T08:00:00,98.98,NA,,-0.8,7052603,-0.3,2024,-5,,7052603.2024.3.18.3,14,97,0.1,3
-64.48333333333333,48.78333333333333,,,2024-03-18 04:00:00,4,,QC,,GASPE AIRPORT,6,,ND,,,,,2024,18,3,,18,2024-03-18T09:00:00,98.9,NA,,-0.8,7052603,-0.4,2024,-4,,7052603.2024.3.18.4,10,97,0.2,3
-64.48333333333333,48.78333333333333,,,2024-03-18 05:00:00,5,,QC,,GASPE AIRPORT,5,,ND,,,,,2024,18,3,,18,2024-03-18T10:00:00,98.84,NA,,-0.8,7052603,-0.5,2024,-3,,7052603.2024.3.18.5,6,97,0.1,3
-64.48333333333333,48.78333333333333,,,2024-03-18 06:00:00,6,,QC,,GASPE AIRPORT,0,,ND,,,,,2024,18,3,,18,2024-03-18T11:00:00,98.82,NA,,-0.8,7052603,-0.5,2024,,,7052603.2024.3.18.6,0,98,0,3
-64.48333333333333,48.78333333333333,,,2024-03-18 07:00:00,7,,QC,,GASPE AIRPORT,0,,ND,,,,,2024,18,3,,18,2024-03-18T12:00:00,98.79,NA,,-0.7,7052603,-0.2,2024,,,7052603.2024.3.18.7,0,96,0,3
