x,y,HUMIDEX_FLAG,PROVINCE_CODE,TEMP,RELATIVE_HUMIDITY_FLAG,WEATHER_FRE_DESC,WIND_DIRECTION_FLAG,PRECIP_AMOUNT_FLAG,DEW_POINT_TEMP,UTC_YEAR,UTC_DAY,LOCAL_HOUR,VISIBILITY,UTC_DATE,TEMP_FLAG,STATION_PRESSURE_FLAG,LOCAL_DATE,WEATHER_ENG_DESC,ID,HUMIDEX,UTC_MONTH,STATION_NAME,PRECIP_AMOUNT,DEW_POINT_TEMP_FLAG,WIND_SPEED_FLAG,STATION_PRESSURE,WINDCHILL_FLAG,RELATIVE_HUMIDITY,WIND_DIRECTION,CLIMATE_IDENTIFIER,VISIBILITY_FLAG,LOCAL_DAY,LOCAL_YEAR,WINDCHILL,WIND_SPEED,LOCAL_MONTH
-65.99277777777777,58.71138888888889,,QC,-19.4,,Poudrerie élevée,,,-23.6,2024,4,15,24.1,2024-03-04T20:00:00,,,2024-03-04 15:00:00,Blowing Snow,7113390.2024.3.4.15,,3,KANGIQSUALUJJUAQ A,,,,102.16,,70,22,7113390,,4,2024,-29,18,3
-65.99277777777777,58.71138888888889,,QC,-19.4,,"Neige,Poudrerie élevée",,,-23.1,2024,4,16,4.8,2024-03-04T21:00:00,,,2024-03-04 16:00:00,"Snow,Blowing Snow",7113390.2024.3.4.16,,3,KANGIQSUALUJJUAQ A,,,,102.17,,73,20,7113390,,4,2024,-28,14,3
-65.99277777777777,58.71138888888889,,QC,-19.8,,Neige,,,-23.3,2024,4,17,9.7,2024-03-04T22:00:00,,,2024-03-04 17:00:00,Snow,7113390.2024.3.4.17,,3,KANGIQSUALUJJUAQ A,,,,102.1,,74,19,7113390,,4,2024,-29,14,3
-65.99277777777777,58.71138888888889,,QC,-16.4,,ND,,,-23.5,2024,5,8,24.1,2024-03-05T13:00:00,,,2024-03-05 08:00:00,NA,7113390.2024.3.5.8,,3,KANGIQSUALUJJUAQ A,,,,100.68,,55,13,7113390,,5,2024,-25,17,3
-65.99277777777777,58.71138888888889,,QC,-14.5,,ND,,,-22.5,2024,5,9,24.1,2024-03-05T14:00:00,,,2024-03-05 09:00:00,NA,7113390.2024.3.5.9,,3,KANGIQSUALUJJUAQ A,,,,100.6,,51,12,7113390,,5,2024,-23,17,3
-65.99277777777777,58.71138888888889,,QC,-13.1,,Neige,,,-20.0,2024,5,10,24.1,2024-03-05T15:00:00,,,2024-03-05 10:00:00,Snow,7113390.2024.3.5.10,,3,KANGIQSUALUJJUAQ A,,,,100.47,,56,13,7113390,,5,2024,-20,13,3
-65.99277777777777,58.71138888888889,,QC,-12.3,,"Neige,Poudrerie élevée",,,-17.4,2024,5,11,19.3,2024-03-05T16:00:00,,,2024-03-05 11:00:00,"Snow,Blowing Snow",7113390.2024.3.5.11,,3,KANGIQSUALUJJUAQ A,,,,100.31,,67,11,7113390,,5,2024,-22,24,3
-65.99277777777777,58.71138888888889,,QC,-10.5,,"Neige,Poudrerie élevée",,,-14.9,2024,5,12,16.1,2024-03-05T17:00:00,,,2024-03-05 12:00:00,"Snow,Blowing Snow",7113390.2024.3.5.12,,3,KANGIQSUALUJJUAQ A,,,,100.2,,70,14,7113390,,5,2024,-18,19,3
-65.99277777777777,58.71138888888889,,QC,-9.7,,Neige,,,-13.7,2024,5,13,24.1,2024-03-05T18:00:00,,,2024-03-05 13:00:00,Snow,7113390.2024.3.5.13,,3,KANGIQSUALUJJUAQ A,,,,100.07,,73,12,7113390,,5,2024,-16,15,3
-65.99277777777777,58.71138888888889,,QC,-9.3,,ND,,,-13.1,2024,5,14,24.1,2024-03-05T19:00:00,,,2024-03-05 14:00:00,NA,7113390.2024.3.5.14,,3,KANGIQSUALUJJUAQ A,,,,99.98,,74,13,7113390,,5,2024,-15,11,3
