x,y,RELATIVE_HUMIDITY_FLAG,HUMIDEX,STATION_PRESSURE_FLAG,WIND_DIRECTION_FLAG,STATION_NAME,WIND_DIRECTION,VISIBILITY_FLAG,STATION_PRESSURE,LOCAL_MONTH,UTC_DATE,WEATHER_ENG_DESC,ID,LOCAL_DAY,WINDCHILL,WINDCHILL_FLAG,RELATIVE_HUMIDITY,WEATHER_FRE_DESC,WIND_SPEED_FLAG,DEW_POINT_TEMP,UTC_YEAR,WIND_SPEED,HUMIDEX_FLAG,CLIMATE_IDENTIFIER,TEMP_FLAG,LOCAL_HOUR,PRECIP_AMOUNT,UTC_DAY,PROVINCE_CODE,LOCAL_DATE,TEMP,LOCAL_YEAR,PRECIP_AMOUNT_FLAG,DEW_POINT_TEMP_FLAG,VISIBILITY,UTC_MONTH
-73.41694444444444,45.5175,M,,M,,MONTREAL/ST-HUBERT,18,,,7,2024-07-25T06:00:00,Rain,7027329.2024.7.25.1,25,,,,Pluie,,,2024,18,,7027329,M,1,0.4,25,QC,2024-07-25 01:00:00,,2024,,M,16.1,7
-73.41694444444444,45.5175,M,,,,MONTREAL/ST-HUBERT,21,,100.98,7,2024-07-25T07:00:00,NA,7027329.2024.7.25.2,25,,,,ND,,,2024,11,,7027329,,2,0.3,25,QC,2024-07-25 02:00:00,21.0,2024,,M,16.1,7
-73.41694444444444,45.5175,M,,,,MONTREAL/ST-HUBERT,21,,100.97,7,2024-07-25T08:00:00,NA,7027329.2024.7.25.3,25,,,,ND,,,2024,9,,7027329,,3,0.8,25,QC,2024-07-25 03:00:00,20.7,2024,,M,16.1,7
-73.41694444444444,45.5175,M,,M,,MONTREAL/ST-HUBERT,22,,,7,2024-07-25T09:00:00,NA,7027329.2024.7.25.4,25,,,,ND,,,2024,22,,7027329,M,4,0,25,QC,2024-07-25 04:00:00,,2024,,M,16.1,7
-73.41694444444444,45.5175,M,,M,,MONTREAL/ST-HUBERT,23,,,7,2024-07-25T10:00:00,NA,7027329.2024.7.25.5,25,,,,ND,,,2024,21,,7027329,M,5,0,25,QC,2024-07-25 05:00:00,,2024,,M,16.1,7
-73.41694444444444,45.5175,M,,M,,MONTREAL/ST-HUBERT,22,,,7,2024-07-25T11:00:00,NA,7027329.2024.7.25.6,25,,,,ND,,,2024,17,,7027329,M,6,0,25,QC,2024-07-25 06:00:00,,2024,,M,16.1,7
-73.41694444444444,45.5175,M,,M,,MONTREAL/ST-HUBERT,25,,,7,2024-07-25T12:00:00,NA,7027329.2024.7.25.7,25,,,,ND,,,2024,26,,7027329,M,7,0,25,QC,2024-07-25 07:00:00,,2024,,M,16.1,7
-73.41694444444444,45.5175,M,,M,,MONTREAL/ST-HUBERT,23,,,7,2024-07-25T13:00:00,NA,7027329.2024.7.25.8,25,,,,ND,,,2024,21,,7027329,M,8,0,25,QC,2024-07-25 08:00:00,,2024,,M,16.1,7
-73.41694444444444,45.5175,M,,M,,MONTREAL/ST-HUBERT,25,,,7,2024-07-25T14:00:00,NA,7027329.2024.7.25.9,25,,,,ND,,,2024,24,,7027329,M,9,0,25,QC,2024-07-25 09:00:00,,2024,,M,12.9,7
-73.41694444444444,45.5175,M,,M,,MONTREAL/ST-HUBERT,25,,,7,2024-07-25T15:00:00,NA,7027329.2024.7.25.10,25,,,,ND,,,2024,15,,7027329,M,10,0.6,25,QC,2024-07-25 10:00:00,,2024,,M,6.4,7
-73.41694444444444,45.5175,M,,M,,MONTREAL/ST-HUBERT,25,,,7,2024-07-25T16:00:00,NA,7027329.2024.7.25.11,25,,,,ND,,,2024,22,,7027329,M,11,0,25,QC,2024-07-25 11:00:00,,2024,,M,16.1,7
-73.41694444444444,45.5175,M,,M,,MONTREAL/ST-HUBERT,23,,,7,2024-07-25T17:00:00,NA,7027329.2024.7.25.12,25,,,,ND,,,2024,34,,7027329,M,12,0,25,QC,2024-07-25 12:00:00,,2024,,M,16.1,7
-73.41694444444444,45.5175,M,,M,,MONTREAL/ST-HUBERT,24,,,7,2024-07-25T18:00:00,NA,7027329.2024.7.25.13,25,,,,ND,,,2024,32,,7027329,M,13,0,25,QC,2024-07-25 13:00:00,,2024,,M,16.1,7
-73.41694444444444,45.5175,M,,M,,MONTREAL/ST-HUBERT,24,,,7,2024-07-25T19:00:00,NA,7027329.2024.7.25.14,25,,,,ND,,,2024,37,,7027329,M,14,0,25,QC,2024-07-25 14:00:00,,2024,,M,16.1,7
-73.41694444444444,45.5175,,26,,,MONTREAL/ST-HUBERT,25,,100.97,7,2024-07-25T20:00:00,NA,7027329.2024.7.25.15,25,,,68,ND,,15.4,2024,34,,7027329,,15,0,25,QC,2024-07-25 15:00:00,21.5,2024,,,16.1,7
-73.41694444444444,45.5175,,25,,,MONTREAL/ST-HUBERT,26,,100.98,7,2024-07-25T21:00:00,Rain,7027329.2024.7.25.16,25,,,76,Pluie,,15.8,2024,34,,7027329,,16,0,25,QC,2024-07-25 16:00:00,20.1,2024,,,14.5,7
