x,y,RELATIVE_HUMIDITY_FLAG,PRECIP_AMOUNT,UTC_DATE,LOCAL_MONTH,VISIBILITY,WIND_DIRECTION,DEW_POINT_TEMP_FLAG,UTC_DAY,STATION_NAME,LOCAL_DAY,HUMIDEX_FLAG,ID,WIND_SPEED,WIND_SPEED_FLAG,UTC_MONTH,WINDCHILL,STATION_PRESSURE,WEATHER_ENG_DESC,RELATIVE_HUMIDITY,WEATHER_FRE_DESC,LOCAL_DATE,CLIMATE_IDENTIFIER,PRECIP_AMOUNT_FLAG,LOCAL_HOUR,WIND_DIRECTION_FLAG,WINDCHILL_FLAG,HUMIDEX,STATION_PRESSURE_FLAG,VISIBILITY_FLAG,UTC_YEAR,TEMP,TEMP_FLAG,PROVINCE_CODE,DEW_POINT_TEMP,LOCAL_YEAR
-57.18611111111111,51.441944444444445,,,2024-04-10T04:00:00,4,24.1,35,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.0,18,,4,-11,101.16,NA,64,ND,2024-04-10 00:00:00,7040815,,0,,,,,,2024,-4.7,,QC,-10.5,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T05:00:00,4,24.1,34,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.1,23,,4,-12,101.14,NA,60,ND,2024-04-10 01:00:00,7040815,,1,,,,,,2024,-5.3,,QC,-12.0,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T06:00:00,4,24.1,34,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.2,20,,4,-13,101.15,Clear,63,Dégagé,2024-04-10 02:00:00,7040815,,2,,,,,,2024,-5.9,,QC,-11.8,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T07:00:00,4,24.1,35,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.3,18,,4,-12,101.14,NA,65,ND,2024-04-10 03:00:00,7040815,,3,,,,,,2024,-5.9,,QC,-11.6,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T08:00:00,4,24.1,36,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.4,19,,4,-13,101.14,NA,65,ND,2024-04-10 04:00:00,7040815,,4,,,,,,2024,-6.1,,QC,-11.7,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T09:00:00,4,24.1,36,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.5,20,,4,-13,101.11,Mostly Cloudy,66,Généralement nuageux,2024-04-10 05:00:00,7040815,,5,,,,,,2024,-6.4,,QC,-11.8,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T10:00:00,4,24.1,36,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.6,21,,4,-13,101.17,NA,62,ND,2024-04-10 06:00:00,7040815,,6,,,,,,2024,-6.0,,QC,-12.1,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T11:00:00,4,22.5,28,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.7,14,,4,-10,101.22,NA,60,ND,2024-04-10 07:00:00,7040815,,7,,,,,,2024,-4.6,,QC,-11.2,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T12:00:00,4,24.1,35,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.8,13,,4,-8,101.23,Mostly Cloudy,59,Généralement nuageux,2024-04-10 08:00:00,7040815,,8,,,,,,2024,-3.5,,QC,-10.4,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T13:00:00,4,24.1,34,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.9,29,,4,-8,101.23,NA,59,ND,2024-04-10 09:00:00,7040815,,9,,,,,,2024,-1.6,,QC,-8.6,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T14:00:00,4,24.1,36,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.10,22,,4,-6,101.28,NA,58,ND,2024-04-10 10:00:00,7040815,,10,,,,,,2024,-0.3,,QC,-7.6,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T15:00:00,4,8.1,36,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.11,20,,4,,101.29,Snow,57,Neige,2024-04-10 11:00:00,7040815,,11,,,,,,2024,1.2,,QC,-6.3,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T16:00:00,4,12.9,1,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.12,27,,4,,101.31,NA,57,ND,2024-04-10 12:00:00,7040815,,12,,,,,,2024,2.5,,QC,-5.2,2024
-57.18611111111111,51.441944444444445,,,2024-04-10T17:00:00,4,24.1,2,,10,LOURDES DE BLANC SABLON A,10,,7040815.2024.4.10.13,22,,4,,101.33,NA,62,ND,2024-04-10 13:00:00,7040815,,13,,,,,,2024,3.1,,QC,-3.5,2024
