x,y,WIND_DIRECTION_FLAG,UTC_MONTH,WIND_SPEED_FLAG,WINDCHILL_FLAG,TEMP,PRECIP_AMOUNT_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,UTC_DAY,WIND_SPEED,LOCAL_YEAR,PROVINCE_CODE,STATION_PRESSURE_FLAG,DEW_POINT_TEMP,UTC_YEAR,HUMIDEX_FLAG,WEATHER_ENG_DESC,VISIBILITY_FLAG,ID,RELATIVE_HUMIDITY_FLAG,VISIBILITY,UTC_DATE,LOCAL_DAY,WIND_DIRECTION,STATION_NAME,DEW_POINT_TEMP_FLAG,RELATIVE_HUMIDITY,WEATHER_FRE_DESC,LOCAL_HOUR,TEMP_FLAG,STATION_PRESSURE,LOCAL_DATE,WINDCHILL,HUMIDEX,PRECIP_AMOUNT
-73.43472222222222,45.809444444444445,,1,,,-5.0,,7014160,1,1,2,2024,QC,,-8.2,2024,,NA,,7014160.2024.1.1.0,,,2024-01-01T05:00:00,1,26,L'ASSOMPTION,,78,ND,0,,101.56,2024-01-01 00:00:00,-6,,0
-73.43472222222222,45.809444444444445,,1,,,-5.2,,7014160,1,1,10,2024,QC,,-9.4,2024,,NA,,7014160.2024.1.1.1,,,2024-01-01T06:00:00,1,33,L'ASSOMPTION,,72,ND,1,,101.58,2024-01-01 01:00:00,-10,,0
-73.43472222222222,45.809444444444445,,1,,,-5.5,,7014160,1,1,11,2024,QC,,-10.3,2024,,NA,,7014160.2024.1.1.2,,,2024-01-01T07:00:00,1,34,L'ASSOMPTION,,69,ND,2,,101.62,2024-01-01 02:00:00,-10,,0
-73.43472222222222,45.809444444444445,,1,,,-5.7,,7014160,1,1,7,2024,QC,,-10.8,2024,,NA,,7014160.2024.1.1.3,,,2024-01-01T08:00:00,1,35,L'ASSOMPTION,,67,ND,3,,101.63,2024-01-01 03:00:00,-9,,0
-73.43472222222222,45.809444444444445,,1,,,-6.1,,7014160,1,1,4,2024,QC,,-9.6,2024,,NA,,7014160.2024.1.1.4,,,2024-01-01T09:00:00,1,32,L'ASSOMPTION,,76,ND,4,,101.63,2024-01-01 04:00:00,-8,,0
-73.43472222222222,45.809444444444445,,1,,,-6.3,,7014160,1,1,6,2024,QC,,-10.1,2024,,NA,,7014160.2024.1.1.5,,,2024-01-01T10:00:00,1,33,L'ASSOMPTION,,74,ND,5,,101.62,2024-01-01 05:00:00,-9,,0
-73.43472222222222,45.809444444444445,,1,,,-7.9,,7014160,1,1,4,2024,QC,,-9.8,2024,,NA,,7014160.2024.1.1.6,,,2024-01-01T11:00:00,1,31,L'ASSOMPTION,,86,ND,6,,101.69,2024-01-01 06:00:00,-10,,0
-73.43472222222222,45.809444444444445,,1,,,-8.3,,7014160,1,1,6,2024,QC,,-10.0,2024,,NA,,7014160.2024.1.1.7,,,2024-01-01T12:00:00,1,31,L'ASSOMPTION,,88,ND,7,,101.74,2024-01-01 07:00:00,-12,,0
-73.43472222222222,45.809444444444445,,1,,,-9.0,,7014160,1,1,4,2024,QC,,-10.8,2024,,NA,,7014160.2024.1.1.8,,,2024-01-01T13:00:00,1,29,L'ASSOMPTION,,87,ND,8,,101.77,2024-01-01 08:00:00,-11,,0
-73.43472222222222,45.809444444444445,,1,,,-7.5,,7014160,1,1,6,2024,QC,,-11.4,2024,,NA,,7014160.2024.1.1.9,,,2024-01-01T14:00:00,1,31,L'ASSOMPTION,,74,ND,9,,101.8,2024-01-01 09:00:00,-11,,0
-73.43472222222222,45.809444444444445,,1,,,-5.9,,7014160,1,1,11,2024,QC,,-11.6,2024,,NA,,7014160.2024.1.1.10,,,2024-01-01T15:00:00,1,32,L'ASSOMPTION,,64,ND,10,,101.83,2024-01-01 10:00:00,-11,,0
-73.43472222222222,45.809444444444445,,1,,,-5.2,,7014160,1,1,11,2024,QC,,-11.6,2024,,NA,,7014160.2024.1.1.11,,,2024-01-01T16:00:00,1,34,L'ASSOMPTION,,61,ND,11,,101.82,2024-01-01 11:00:00,-10,,0
-73.43472222222222,45.809444444444445,,1,,,-4.9,,7014160,1,1,7,2024,QC,,-12.7,2024,,NA,,7014160.2024.1.1.12,,,2024-01-01T17:00:00,1,35,L'ASSOMPTION,,54,ND,12,,101.77,2024-01-01 12:00:00,-8,,0
-73.43472222222222,45.809444444444445,,1,,,-4.5,,7014160,1,1,5,2024,QC,,-12.0,2024,,NA,,7014160.2024.1.1.13,,,2024-01-01T18:00:00,1,30,L'ASSOMPTION,,56,ND,13,,101.73,2024-01-01 13:00:00,-7,,0
-73.43472222222222,45.809444444444445,,1,,,-4.5,,7014160,1,1,7,2024,QC,,-11.6,2024,,NA,,7014160.2024.1.1.14,,,2024-01-01T19:00:00,1,23,L'ASSOMPTION,,57,ND,14,,101.72,2024-01-01 14:00:00,-8,,0
-73.43472222222222,45.809444444444445,,1,,,-4.3,,7014160,1,1,7,2024,QC,,-10.8,2024,,NA,,7014160.2024.1.1.15,,,2024-01-01T20:00:00,1,26,L'ASSOMPTION,,61,ND,15,,101.7,2024-01-01 15:00:00,-7,,0
-73.43472222222222,45.809444444444445,,1,,,-4.4,,7014160,1,1,8,2024,QC,,-10.0,2024,,NA,,7014160.2024.1.1.16,,,2024-01-01T21:00:00,1,25,L'ASSOMPTION,,65,ND,16,,101.72,2024-01-01 16:00:00,-8,,0
-73.43472222222222,45.809444444444445,,1,,,-4.6,,7014160,1,1,11,2024,QC,,-11.0,2024,,NA,,7014160.2024.1.1.17,,,2024-01-01T22:00:00,1,27,L'ASSOMPTION,,61,ND,17,,101.73,2024-01-01 17:00:00,-9,,0
-73.43472222222222,45.809444444444445,,1,,,-5.0,,7014160,1,1,7,2024,QC,,-10.4,2024,,NA,,7014160.2024.1.1.18,,,2024-01-01T23:00:00,1,27,L'ASSOMPTION,,66,ND,18,,101.73,2024-01-01 18:00:00,-8,,0
-73.43472222222222,45.809444444444445,,1,,,-6.3,,7014160,1,2,8,2024,QC,,-10.7,2024,,NA,,7014160.2024.1.1.19,,,2024-01-02T00:00:00,1,25,L'ASSOMPTION,,71,ND,19,,101.76,2024-01-01 19:00:00,-10,,0
-73.43472222222222,45.809444444444445,,1,,,-5.9,,7014160,1,2,9,2024,QC,,-9.9,2024,,NA,,7014160.2024.1.1.20,,,2024-01-02T01:00:00,1,23,L'ASSOMPTION,,73,ND,20,,101.72,2024-01-01 20:00:00,-10,,0
-73.43472222222222,45.809444444444445,,1,,,-5.4,,7014160,1,2,11,2024,QC,,-10.3,2024,,NA,,7014160.2024.1.1.21,,,2024-01-02T02:00:00,1,23,L'ASSOMPTION,,69,ND,21,,101.72,2024-01-01 21:00:00,-10,,0
-73.43472222222222,45.809444444444445,,1,,,-5.7,,7014160,1,2,12,2024,QC,,-10.3,2024,,NA,,7014160.2024.1.1.22,,,2024-01-02T03:00:00,1,23,L'ASSOMPTION,,70,ND,22,,101.66,2024-01-01 22:00:00,-11,,0
-73.43472222222222,45.809444444444445,,1,,,-5.3,,7014160,1,2,14,2024,QC,,-9.3,2024,,NA,,7014160.2024.1.1.23,,,2024-01-02T04:00:00,1,22,L'ASSOMPTION,,73,ND,23,,101.63,2024-01-01 23:00:00,-11,,0
-73.43472222222222,45.809444444444445,,1,,,-5.0,,7014160,1,2,16,2024,QC,,-9.6,2024,,NA,,7014160.2024.1.2.0,,,2024-01-02T05:00:00,2,24,L'ASSOMPTION,,71,ND,0,,101.59,2024-01-02 00:00:00,-11,,0
-73.43472222222222,45.809444444444445,,1,,,-5.5,,7014160,1,2,12,2024,QC,,-9.5,2024,,NA,,7014160.2024.1.2.1,,,2024-01-02T06:00:00,2,23,L'ASSOMPTION,,74,ND,1,,101.54,2024-01-02 01:00:00,-10,,0
-73.43472222222222,45.809444444444445,,1,,,-6.0,,7014160,1,2,12,2024,QC,,-9.5,2024,,NA,,7014160.2024.1.2.2,,,2024-01-02T07:00:00,2,22,L'ASSOMPTION,,77,ND,2,,101.5,2024-01-02 02:00:00,-11,,0
-73.43472222222222,45.809444444444445,,1,,,-5.6,,7014160,1,2,12,2024,QC,,-8.9,2024,,NA,,7014160.2024.1.2.3,,,2024-01-02T08:00:00,2,23,L'ASSOMPTION,,78,ND,3,,101.47,2024-01-02 03:00:00,-11,,0
-73.43472222222222,45.809444444444445,,1,,,-5.2,,7014160,1,2,14,2024,QC,,-8.2,2024,,NA,,7014160.2024.1.2.4,,,2024-01-02T09:00:00,2,22,L'ASSOMPTION,,79,ND,4,,101.43,2024-01-02 04:00:00,-11,,0
-73.43472222222222,45.809444444444445,,1,,,-5.2,,7014160,1,2,13,2024,QC,,-7.8,2024,,NA,,7014160.2024.1.2.5,,,2024-01-02T10:00:00,2,22,L'ASSOMPTION,,82,ND,5,,101.41,2024-01-02 05:00:00,-10,,0
-73.43472222222222,45.809444444444445,,1,,,-5.1,,7014160,1,2,14,2024,QC,,-7.4,2024,,NA,,7014160.2024.1.2.6,,,2024-01-02T11:00:00,2,22,L'ASSOMPTION,,84,ND,6,,101.42,2024-01-02 06:00:00,-10,,0
-73.43472222222222,45.809444444444445,,1,,,-4.7,,7014160,1,2,13,2024,QC,,-7.0,2024,,NA,,7014160.2024.1.2.7,,,2024-01-02T12:00:00,2,22,L'ASSOMPTION,,84,ND,7,,101.41,2024-01-02 07:00:00,-10,,0
-73.43472222222222,45.809444444444445,,1,,,-4.0,,7014160,1,2,11,2024,QC,,-6.4,2024,,NA,,7014160.2024.1.2.8,,,2024-01-02T13:00:00,2,24,L'ASSOMPTION,,84,ND,8,,101.42,2024-01-02 08:00:00,-8,,0
-73.43472222222222,45.809444444444445,,1,,,-3.3,,7014160,1,2,14,2024,QC,,-5.7,2024,,NA,,7014160.2024.1.2.9,,,2024-01-02T14:00:00,2,23,L'ASSOMPTION,,83,ND,9,,101.41,2024-01-02 09:00:00,-8,,0
-73.43472222222222,45.809444444444445,,1,,,-2.5,,7014160,1,2,17,2024,QC,,-5.1,2024,,NA,,7014160.2024.1.2.10,,,2024-01-02T15:00:00,2,23,L'ASSOMPTION,,82,ND,10,,101.41,2024-01-02 10:00:00,-8,,0
-73.43472222222222,45.809444444444445,,1,,,-1.7,,7014160,1,2,19,2024,QC,,-4.8,2024,,NA,,7014160.2024.1.2.11,,,2024-01-02T16:00:00,2,23,L'ASSOMPTION,,80,ND,11,,101.35,2024-01-02 11:00:00,-7,,0
-73.43472222222222,45.809444444444445,,1,,,-1.2,,7014160,1,2,19,2024,QC,,-4.7,2024,,NA,,7014160.2024.1.2.12,,,2024-01-02T17:00:00,2,23,L'ASSOMPTION,,77,ND,12,,101.25,2024-01-02 12:00:00,-7,,0
-73.43472222222222,45.809444444444445,,1,,,-1.1,,7014160,1,2,16,2024,QC,,-4.7,2024,,NA,,7014160.2024.1.2.13,,,2024-01-02T18:00:00,2,23,L'ASSOMPTION,,76,ND,13,,101.18,2024-01-02 13:00:00,-6,,0
-73.43472222222222,45.809444444444445,,1,,,-1.0,,7014160,1,2,15,2024,QC,,-4.7,2024,,NA,,7014160.2024.1.2.14,,,2024-01-02T19:00:00,2,23,L'ASSOMPTION,,76,ND,14,,101.13,2024-01-02 14:00:00,-6,,0
-73.43472222222222,45.809444444444445,,1,,,-1.0,,7014160,1,2,17,2024,QC,,-5.0,2024,,NA,,7014160.2024.1.2.15,,,2024-01-02T20:00:00,2,23,L'ASSOMPTION,,74,ND,15,,101.1,2024-01-02 15:00:00,-6,,0
-73.43472222222222,45.809444444444445,,1,,,-1.1,,7014160,1,2,14,2024,QC,,-5.0,2024,,NA,,7014160.2024.1.2.16,,,2024-01-02T21:00:00,2,25,L'ASSOMPTION,,75,ND,16,,101.08,2024-01-02 16:00:00,-6,,0
-73.43472222222222,45.809444444444445,,1,,,-0.9,,7014160,1,2,13,2024,QC,,-4.6,2024,,NA,,7014160.2024.1.2.17,,,2024-01-02T22:00:00,2,26,L'ASSOMPTION,,76,ND,17,,101.08,2024-01-02 17:00:00,-5,,0
-73.43472222222222,45.809444444444445,,1,,,-0.7,,7014160,1,2,10,2024,QC,,-4.4,2024,,NA,,7014160.2024.1.2.18,,,2024-01-02T23:00:00,2,26,L'ASSOMPTION,,76,ND,18,,101.1,2024-01-02 18:00:00,-4,,0
-73.43472222222222,45.809444444444445,,1,,,-0.7,,7014160,1,3,7,2024,QC,,-4.2,2024,,NA,,7014160.2024.1.2.19,,,2024-01-03T00:00:00,2,24,L'ASSOMPTION,,77,ND,19,,101.09,2024-01-02 19:00:00,-3,,0
-73.43472222222222,45.809444444444445,,1,,,-0.5,,7014160,1,3,8,2024,QC,,-3.8,2024,,NA,,7014160.2024.1.2.20,,,2024-01-03T01:00:00,2,25,L'ASSOMPTION,,78,ND,20,,101.11,2024-01-02 20:00:00,-3,,0
-73.43472222222222,45.809444444444445,,1,,,-0.1,,7014160,1,3,12,2024,QC,,-3.6,2024,,NA,,7014160.2024.1.2.21,,,2024-01-03T02:00:00,2,23,L'ASSOMPTION,,77,ND,21,,101.06,2024-01-02 21:00:00,-4,,0
-73.43472222222222,45.809444444444445,,1,,,0.1,,7014160,1,3,17,2024,QC,,-3.8,2024,,NA,,7014160.2024.1.2.22,,,2024-01-03T03:00:00,2,23,L'ASSOMPTION,,75,ND,22,,101.03,2024-01-02 22:00:00,,,0
-73.43472222222222,45.809444444444445,,1,,,0.1,,7014160,1,3,17,2024,QC,,-3.8,2024,,NA,,7014160.2024.1.2.23,,,2024-01-03T04:00:00,2,22,L'ASSOMPTION,,75,ND,23,,101.03,2024-01-02 23:00:00,,,0
-73.43472222222222,45.809444444444445,,1,,,0.0,,7014160,1,3,14,2024,QC,,-3.8,2024,,NA,,7014160.2024.1.3.0,,,2024-01-03T05:00:00,3,22,L'ASSOMPTION,,76,ND,0,,100.99,2024-01-03 00:00:00,-4,,0
-73.43472222222222,45.809444444444445,,1,,,0.2,,7014160,1,3,13,2024,QC,,-3.9,2024,,NA,,7014160.2024.1.3.1,,,2024-01-03T06:00:00,3,23,L'ASSOMPTION,,74,ND,1,,100.99,2024-01-03 01:00:00,,,0
-73.43472222222222,45.809444444444445,,1,,,0.2,,7014160,1,3,12,2024,QC,,-3.7,2024,,NA,,7014160.2024.1.3.2,,,2024-01-03T07:00:00,3,23,L'ASSOMPTION,,75,ND,2,,101.01,2024-01-03 02:00:00,,,0
-73.43472222222222,45.809444444444445,,1,,,0.4,,7014160,1,3,13,2024,QC,,-3.6,2024,,NA,,7014160.2024.1.3.3,,,2024-01-03T08:00:00,3,24,L'ASSOMPTION,,75,ND,3,,100.99,2024-01-03 03:00:00,,,0
