 ID,PARAM,Date,Bersimis-2,SYM
02SB006,1,2025/01/01,190,
02SB006,1,2025/01/02,297,
02SB006,1,2025/01/03,388,
02SB006,1,2025/01/04,396,
02SB006,1,2025/01/05,177,
02SB006,1,2025/01/06,85.0,
02SB006,1,2025/01/07,323,
02SB006,1,2025/01/08,320,
02SB006,1,2025/01/09,334,
02SB006,1,2025/01/10,300,
02SB006,1,2025/01/11,343,
02SB006,1,2025/01/12,388,
02SB006,1,2025/01/13,99.4,
02SB006,1,2025/01/14,362,
02SB006,1,2025/01/15,340,
02SB006,1,2025/01/16,323,
02SB006,1,2025/01/17,345,
02SB006,1,2025/01/18,328,
02SB006,1,2025/01/19,255,
02SB006,1,2025/01/20,95.7,
02SB006,1,2025/01/21,345,
02SB006,1,2025/01/22,362,
02SB006,1,2025/01/23,343,
02SB006,1,2025/01/24,413,
02SB006,1,2025/01/25,396,
02SB006,1,2025/01/26,311,
02SB006,1,2025/01/27,90.0,
02SB006,1,2025/01/28,382,
02SB006,1,2025/01/29,399,
02SB006,1,2025/01/30,351,
02SB006,1,2025/01/31,368,
02SB006,1,2025/02/01,382,
02SB006,1,2025/02/02,351,
02SB006,1,2025/02/03,176,
02SB006,1,2025/02/04,433,
02SB006,1,2025/02/05,405,
02SB006,1,2025/02/06,360,
02SB006,1,2025/02/07,402,
02SB006,1,2025/02/08,442,
02SB006,1,2025/02/09,354,
02SB006,1,2025/02/10,101,
02SB006,1,2025/02/11,334,
02SB006,1,2025/02/12,340,
02SB006,1,2025/02/13,345,
02SB006,1,2025/02/14,343,
02SB006,1,2025/02/15,391,
02SB006,1,2025/02/16,351,
02SB006,1,2025/02/17,97.4,
02SB006,1,2025/02/18,328,
02SB006,1,2025/02/19,360,
02SB006,1,2025/02/20,371,
02SB006,1,2025/02/21,394,
02SB006,1,2025/02/22,419,
02SB006,1,2025/02/23,340,
02SB006,1,2025/02/24,128,
02SB006,1,2025/02/25,354,
02SB006,1,2025/02/26,394,
02SB006,1,2025/02/27,320,
02SB006,1,2025/02/28,334,
02SB006,1,2025/03/01,365,
02SB006,1,2025/03/02,259,
02SB006,1,2025/03/03,89.8,
02SB006,1,2025/03/04,292,
02SB006,1,2025/03/05,314,
02SB006,1,2025/03/06,354,
02SB006,1,2025/03/07,309,
