 ID,PARAM,Date,Laforge-2,SYM
03DC005,1,1984/01/27,18.1,
03DC005,1,1984/01/28,44.8,
03DC005,1,1984/01/29,80.9,
03DC005,1,1984/01/30,118,
03DC005,1,1984/01/31,183,
03DC005,1,1984/02/01,198,
03DC005,1,1984/02/02,232,
03DC005,1,1984/02/03,288,
03DC005,1,1984/02/04,300,
03DC005,1,1984/02/05,328,
03DC005,1,1984/02/06,352,
03DC005,1,1984/02/07,389,
03DC005,1,1984/02/08,402,
03DC005,1,1984/02/09,423,
03DC005,1,1984/02/10,427,
03DC005,1,1984/02/11,466,
03DC005,1,1984/02/12,501,
03DC005,1,1984/02/13,500,
03DC005,1,1984/02/14,501,
03DC005,1,1984/02/15,502,
03DC005,1,1984/02/16,503,
03DC005,1,1984/02/17,512,
03DC005,1,1984/02/18,521,
03DC005,1,1984/02/19,525,
03DC005,1,1984/02/20,532,
03DC005,1,1984/02/21,533,
03DC005,1,1984/02/22,535,
03DC005,1,1984/02/23,536,
03DC005,1,1984/02/24,537,
03DC005,1,1984/02/25,540,
03DC005,1,1984/02/26,544,
03DC005,1,1984/02/27,545,
03DC005,1,1984/02/28,545,
03DC005,1,1984/02/29,544,
03DC005,1,1984/03/01,543,
03DC005,1,1984/03/02,543,
03DC005,1,1984/03/03,544,
03DC005,1,1984/03/04,544,
03DC005,1,1984/03/05,547,
03DC005,1,1984/03/06,549,
03DC005,1,1984/03/07,542,
03DC005,1,1984/03/08,538,
03DC005,1,1984/03/09,537,
03DC005,1,1984/03/10,538,
03DC005,1,1984/03/11,540,
03DC005,1,1984/03/12,540,
03DC005,1,1984/03/13,534,
03DC005,1,1984/03/14,532,
03DC005,1,1984/03/15,535,
03DC005,1,1984/03/16,540,
03DC005,1,1984/03/17,554,
03DC005,1,1984/03/18,568,
03DC005,1,1984/03/19,598,
03DC005,1,1984/03/20,623,
03DC005,1,1984/03/21,654,
03DC005,1,1984/03/22,681,
03DC005,1,1984/03/23,708,
03DC005,1,1984/03/24,756,
03DC005,1,1984/03/25,802,
03DC005,1,1984/03/26,842,
03DC005,1,1984/03/27,880,
03DC005,1,1984/03/28,913,
03DC005,1,1984/03/29,949,
03DC005,1,1984/03/30,981,
03DC005,1,1984/03/31,1010,
03DC005,1,1984/04/01,1030,
03DC005,1,1984/04/02,1050,
03DC005,1,1984/04/03,1070,
03DC005,1,1984/04/04,1070,
03DC005,1,1984/04/05,1080,
03DC005,1,1984/04/06,1090,
03DC005,1,1984/04/07,1100,
03DC005,1,1984/04/08,1100,
03DC005,1,1984/04/09,1110,
03DC005,1,1984/04/10,1120,
03DC005,1,1984/04/11,1120,
03DC005,1,1984/04/12,1130,
03DC005,1,1984/04/13,1130,
03DC005,1,1984/04/14,1140,
03DC005,1,1984/04/15,1140,
03DC005,1,1984/04/16,1150,
03DC005,1,1984/04/17,1140,
03DC005,1,1984/04/18,1140,
03DC005,1,1984/04/19,1140,
03DC005,1,1984/04/20,1130,
03DC005,1,1984/04/21,1130,
03DC005,1,1984/04/22,1120,
03DC005,1,1984/04/23,1130,
03DC005,1,1984/04/24,1130,
03DC005,1,1984/04/25,890,
03DC005,1,1984/04/26,879,
03DC005,1,1984/04/27,855,
03DC005,1,1984/04/28,769,
03DC005,1,1984/04/29,692,
03DC005,1,1984/04/30,629,
03DC005,1,1984/05/01,583,
03DC005,1,1984/05/02,540,
