 ID,PARAM,Date,Outardes-2,SYM
02TE001,1,2025/01/01,524,
02TE001,1,2025/01/02,405,
02TE001,1,2025/01/03,396,
02TE001,1,2025/01/04,484,
02TE001,1,2025/01/05,473,
02TE001,1,2025/01/06,459,
02TE001,1,2025/01/07,479,
02TE001,1,2025/01/08,484,
02TE001,1,2025/01/09,467,
02TE001,1,2025/01/10,453,
02TE001,1,2025/01/11,328,
02TE001,1,2025/01/12,538,
02TE001,1,2025/01/13,521,
02TE001,1,2025/01/14,481,
02TE001,1,2025/01/15,498,
02TE001,1,2025/01/16,476,
02TE001,1,2025/01/17,362,
02TE001,1,2025/01/18,493,
02TE001,1,2025/01/19,527,
02TE001,1,2025/01/20,566,
02TE001,1,2025/01/21,532,
02TE001,1,2025/01/22,558,
02TE001,1,2025/01/23,595,
02TE001,1,2025/01/24,473,
02TE001,1,2025/01/25,530,
02TE001,1,2025/01/26,521,
02TE001,1,2025/01/27,532,
02TE001,1,2025/01/28,535,
02TE001,1,2025/01/29,527,
02TE001,1,2025/01/30,507,
02TE001,1,2025/01/31,504,
02TE001,1,2025/02/01,518,
02TE001,1,2025/02/02,513,
02TE001,1,2025/02/03,515,
02TE001,1,2025/02/04,515,
02TE001,1,2025/02/05,513,
02TE001,1,2025/02/06,507,
02TE001,1,2025/02/07,513,
02TE001,1,2025/02/08,464,
02TE001,1,2025/02/09,507,
02TE001,1,2025/02/10,507,
02TE001,1,2025/02/11,513,
02TE001,1,2025/02/12,479,
02TE001,1,2025/02/13,470,
02TE001,1,2025/02/14,490,
02TE001,1,2025/02/15,498,
02TE001,1,2025/02/16,532,
02TE001,1,2025/02/17,538,
02TE001,1,2025/02/18,521,
02TE001,1,2025/02/19,513,
02TE001,1,2025/02/20,515,
02TE001,1,2025/02/21,515,
02TE001,1,2025/02/22,521,
02TE001,1,2025/02/23,521,
02TE001,1,2025/02/24,527,
02TE001,1,2025/02/25,547,
02TE001,1,2025/02/26,532,
02TE001,1,2025/02/27,496,
02TE001,1,2025/02/28,518,
02TE001,1,2025/03/01,515,
02TE001,1,2025/03/02,524,
02TE001,1,2025/03/03,530,
02TE001,1,2025/03/04,513,
02TE001,1,2025/03/05,515,
02TE001,1,2025/03/06,513,
02TE001,1,2025/03/07,479,
02TE001,1,2025/03/08,476,
02TE001,1,2025/03/09,422,
02TE001,1,2025/03/10,402,
02TE001,1,2025/03/11,374,
02TE001,1,2025/03/12,442,
02TE001,1,2025/03/13,382,
02TE001,1,2025/03/14,413,
02TE001,1,2025/03/15,314,
02TE001,1,2025/03/16,374,
02TE001,1,2025/03/17,490,
02TE001,1,2025/03/18,433,
02TE001,1,2025/03/19,430,
02TE001,1,2025/03/20,362,
02TE001,1,2025/03/21,334,
02TE001,1,2025/03/22,371,
02TE001,1,2025/03/23,337,
02TE001,1,2025/03/24,374,
02TE001,1,2025/03/25,408,
02TE001,1,2025/03/26,371,
02TE001,1,2025/03/27,348,
02TE001,1,2025/03/28,340,
02TE001,1,2025/03/29,368,
02TE001,1,2025/03/30,365,
02TE001,1,2025/03/31,365,
02TE001,1,2025/04/01,365,
02TE001,1,2025/04/02,328,
02TE001,1,2025/04/03,340,
02TE001,1,2025/04/04,368,
02TE001,1,2025/04/05,371,
02TE001,1,2025/04/06,368,
02TE001,1,2025/04/07,348,
02TE001,1,2025/04/08,362,
02TE001,1,2025/04/09,337,
02TE001,1,2025/04/10,314,
02TE001,1,2025/04/11,279,
02TE001,1,2025/04/12,331,
02TE001,1,2025/04/13,320,
02TE001,1,2025/04/14,351,
02TE001,1,2025/04/15,360,
02TE001,1,2025/04/16,306,
02TE001,1,2025/04/17,218,
02TE001,1,2025/04/18,184,
02TE001,1,2025/04/19,230,
02TE001,1,2025/04/20,199,
02TE001,1,2025/04/21,203,
02TE001,1,2025/04/22,186,
02TE001,1,2025/04/23,254,
02TE001,1,2025/04/24,286,
02TE001,1,2025/04/25,297,
02TE001,1,2025/04/26,311,
02TE001,1,2025/04/27,413,
02TE001,1,2025/04/28,504,
02TE001,1,2025/04/29,507,
02TE001,1,2025/04/30,402,
02TE001,1,2025/05/01,300,
02TE001,1,2025/05/02,317,
02TE001,1,2025/05/03,351,
02TE001,1,2025/05/04,340,
02TE001,1,2025/05/05,385,
02TE001,1,2025/05/06,365,
02TE001,1,2025/05/07,362,
02TE001,1,2025/05/08,317,
02TE001,1,2025/05/09,340,
02TE001,1,2025/05/10,377,
02TE001,1,2025/05/11,337,
02TE001,1,2025/05/12,416,
02TE001,1,2025/05/13,399,
02TE001,1,2025/05/14,428,
02TE001,1,2025/05/15,357,
02TE001,1,2025/05/16,399,
02TE001,1,2025/05/17,470,
02TE001,1,2025/05/18,419,
02TE001,1,2025/05/19,430,
02TE001,1,2025/05/20,447,
02TE001,1,2025/05/21,368,
02TE001,1,2025/05/22,280,
02TE001,1,2025/05/23,317,
02TE001,1,2025/05/24,385,
02TE001,1,2025/05/25,496,
02TE001,1,2025/05/26,402,
02TE001,1,2025/05/27,456,
02TE001,1,2025/05/28,351,
02TE001,1,2025/05/29,267,
02TE001,1,2025/05/30,264,
02TE001,1,2025/05/31,345,
02TE001,1,2025/06/01,334,
02TE001,1,2025/06/02,388,
02TE001,1,2025/06/03,385,
02TE001,1,2025/06/04,385,
02TE001,1,2025/06/05,292,
02TE001,1,2025/06/06,317,
02TE001,1,2025/06/07,371,
02TE001,1,2025/06/08,419,
02TE001,1,2025/06/09,385,
02TE001,1,2025/06/10,394,
02TE001,1,2025/06/11,292,
02TE001,1,2025/06/12,239,
02TE001,1,2025/06/13,251,
02TE001,1,2025/06/14,286,
02TE001,1,2025/06/15,314,
02TE001,1,2025/06/16,326,
02TE001,1,2025/06/17,371,
02TE001,1,2025/06/18,354,
02TE001,1,2025/06/19,289,
02TE001,1,2025/06/20,283,
02TE001,1,2025/06/21,331,
02TE001,1,2025/06/22,317,
02TE001,1,2025/06/23,286,
02TE001,1,2025/06/24,251,
02TE001,1,2025/06/25,189,
02TE001,1,2025/06/26,234,
02TE001,1,2025/06/27,297,
02TE001,1,2025/06/28,334,
02TE001,1,2025/06/29,232,
02TE001,1,2025/06/30,189,
02TE001,1,2025/07/01,306,
02TE001,1,2025/07/02,222,
02TE001,1,2025/07/03,204,
02TE001,1,2025/07/04,239,
02TE001,1,2025/07/05,317,
02TE001,1,2025/07/06,300,
02TE001,1,2025/07/07,328,
02TE001,1,2025/07/08,320,
02TE001,1,2025/07/09,357,
02TE001,1,2025/07/10,317,
02TE001,1,2025/07/11,292,
02TE001,1,2025/07/12,229,
02TE001,1,2025/07/13,326,
02TE001,1,2025/07/14,334,
02TE001,1,2025/07/15,328,
02TE001,1,2025/07/16,300,
02TE001,1,2025/07/17,226,
02TE001,1,2025/07/18,203,
02TE001,1,2025/07/19,314,
02TE001,1,2025/07/20,306,
02TE001,1,2025/07/21,331,
02TE001,1,2025/07/22,306,
02TE001,1,2025/07/23,300,
02TE001,1,2025/07/24,396,
02TE001,1,2025/07/25,303,
02TE001,1,2025/07/26,294,
02TE001,1,2025/07/27,317,
02TE001,1,2025/07/28,345,
02TE001,1,2025/07/29,331,
02TE001,1,2025/07/30,340,
02TE001,1,2025/07/31,323,
02TE001,1,2025/08/01,320,
02TE001,1,2025/08/02,379,
02TE001,1,2025/08/03,334,
02TE001,1,2025/08/04,334,
02TE001,1,2025/08/05,337,
02TE001,1,2025/08/06,334,
02TE001,1,2025/08/07,323,
02TE001,1,2025/08/08,311,
02TE001,1,2025/08/09,337,
02TE001,1,2025/08/10,317,
02TE001,1,2025/08/11,249,
02TE001,1,2025/08/12,283,
02TE001,1,2025/08/13,235,
02TE001,1,2025/08/14,219,
02TE001,1,2025/08/15,235,
02TE001,1,2025/08/16,286,
02TE001,1,2025/08/17,273,
02TE001,1,2025/08/18,286,
02TE001,1,2025/08/19,283,
02TE001,1,2025/08/20,270,
02TE001,1,2025/08/21,145,
02TE001,1,2025/08/22,236,
02TE001,1,2025/08/23,422,
02TE001,1,2025/08/24,294,
