 ID,PARAM,Date,Paugan,SYM
02LH009,1,2025/01/01,374,
02LH009,1,2025/01/02,388,
02LH009,1,2025/01/03,370,
02LH009,1,2025/01/04,363,
02LH009,1,2025/01/05,360,
02LH009,1,2025/01/06,361,
02LH009,1,2025/01/07,373,
02LH009,1,2025/01/08,374,
02LH009,1,2025/01/09,377,
02LH009,1,2025/01/10,377,
02LH009,1,2025/01/11,373,
02LH009,1,2025/01/12,386,
02LH009,1,2025/01/13,396,
02LH009,1,2025/01/14,401,
02LH009,1,2025/01/15,433,
02LH009,1,2025/01/16,411,
02LH009,1,2025/01/17,406,
02LH009,1,2025/01/18,408,
02LH009,1,2025/01/19,408,
02LH009,1,2025/01/20,400,
02LH009,1,2025/01/21,386,
02LH009,1,2025/01/22,369,
02LH009,1,2025/01/23,371,
02LH009,1,2025/01/24,362,
02LH009,1,2025/01/25,355,
02LH009,1,2025/01/26,352,
02LH009,1,2025/01/27,361,
02LH009,1,2025/01/28,354,
02LH009,1,2025/01/29,352,
02LH009,1,2025/01/30,360,
02LH009,1,2025/01/31,363,
02LH009,1,2025/02/01,363,
02LH009,1,2025/02/02,365,
02LH009,1,2025/02/03,365,
02LH009,1,2025/02/04,364,
02LH009,1,2025/02/05,351,
02LH009,1,2025/02/06,340,
02LH009,1,2025/02/07,350,
02LH009,1,2025/02/08,352,
02LH009,1,2025/02/09,362,
02LH009,1,2025/02/10,373,
02LH009,1,2025/02/11,393,
02LH009,1,2025/02/12,394,
02LH009,1,2025/02/13,396,
02LH009,1,2025/02/14,397,
02LH009,1,2025/02/15,404,
02LH009,1,2025/02/16,438,
02LH009,1,2025/02/17,439,
02LH009,1,2025/02/18,436,
02LH009,1,2025/02/19,446,
02LH009,1,2025/02/20,488,
02LH009,1,2025/02/21,512,
02LH009,1,2025/02/22,527,
02LH009,1,2025/02/23,538,
02LH009,1,2025/02/24,543,
02LH009,1,2025/02/25,529,
02LH009,1,2025/02/26,515,
02LH009,1,2025/02/27,523,
02LH009,1,2025/02/28,516,
02LH009,1,2025/03/01,524,
02LH009,1,2025/03/02,536,
02LH009,1,2025/03/03,536,
02LH009,1,2025/03/04,541,
02LH009,1,2025/03/05,557,
02LH009,1,2025/03/06,543,
02LH009,1,2025/03/07,537,
02LH009,1,2025/03/08,530,
02LH009,1,2025/03/09,536,
02LH009,1,2025/03/10,547,
02LH009,1,2025/03/11,493,
02LH009,1,2025/03/12,475,
02LH009,1,2025/03/13,461,
02LH009,1,2025/03/14,451,
02LH009,1,2025/03/15,450,
02LH009,1,2025/03/16,425,
02LH009,1,2025/03/17,406,
02LH009,1,2025/03/18,413,
02LH009,1,2025/03/19,388,
02LH009,1,2025/03/20,322,
02LH009,1,2025/03/21,321,
02LH009,1,2025/03/22,314,
02LH009,1,2025/03/23,294,
02LH009,1,2025/03/24,290,
02LH009,1,2025/03/25,265,
02LH009,1,2025/03/26,239,
02LH009,1,2025/03/27,213,
02LH009,1,2025/03/28,212,
02LH009,1,2025/03/29,209,
02LH009,1,2025/03/30,164,
02LH009,1,2025/03/31,178,
02LH009,1,2025/04/01,156,
02LH009,1,2025/04/02,159,
02LH009,1,2025/04/03,183,
02LH009,1,2025/04/04,191,
02LH009,1,2025/04/05,188,
02LH009,1,2025/04/06,210,
02LH009,1,2025/04/07,196,
02LH009,1,2025/04/08,185,
02LH009,1,2025/04/09,166,
02LH009,1,2025/04/10,235,
02LH009,1,2025/04/11,219,
02LH009,1,2025/04/12,217,
02LH009,1,2025/04/13,254,
02LH009,1,2025/04/14,286,
02LH009,1,2025/04/15,300,
02LH009,1,2025/04/16,334,
02LH009,1,2025/04/17,422,
02LH009,1,2025/04/18,449,
02LH009,1,2025/04/19,446,
02LH009,1,2025/04/20,418,
02LH009,1,2025/04/21,378,
02LH009,1,2025/04/22,350,
02LH009,1,2025/04/23,317,
02LH009,1,2025/04/24,301,
02LH009,1,2025/04/25,292,
02LH009,1,2025/04/26,279,
02LH009,1,2025/04/27,284,
02LH009,1,2025/04/28,288,
02LH009,1,2025/04/29,270,
02LH009,1,2025/04/30,322,
02LH009,1,2025/05/01,344,
02LH009,1,2025/05/02,363,
02LH009,1,2025/05/03,366,
02LH009,1,2025/05/04,361,
02LH009,1,2025/05/05,347,
02LH009,1,2025/05/06,399,
02LH009,1,2025/05/07,391,
02LH009,1,2025/05/08,422,
02LH009,1,2025/05/09,422,
02LH009,1,2025/05/10,438,
02LH009,1,2025/05/11,480,
02LH009,1,2025/05/12,485,
02LH009,1,2025/05/13,498,
02LH009,1,2025/05/14,528,
02LH009,1,2025/05/15,544,
02LH009,1,2025/05/16,547,
02LH009,1,2025/05/17,579,
02LH009,1,2025/05/18,559,
02LH009,1,2025/05/19,593,
02LH009,1,2025/05/20,615,
02LH009,1,2025/05/21,573,
02LH009,1,2025/05/22,562,
02LH009,1,2025/05/23,553,
02LH009,1,2025/05/24,551,
02LH009,1,2025/05/25,552,
02LH009,1,2025/05/26,571,
02LH009,1,2025/05/27,564,
02LH009,1,2025/05/28,556,
02LH009,1,2025/05/29,557,
02LH009,1,2025/05/30,558,
02LH009,1,2025/05/31,538,
02LH009,1,2025/06/01,585,
02LH009,1,2025/06/02,599,
02LH009,1,2025/06/03,659,
02LH009,1,2025/06/04,657,
02LH009,1,2025/06/05,652,
02LH009,1,2025/06/06,652,
02LH009,1,2025/06/07,632,
02LH009,1,2025/06/08,582,
02LH009,1,2025/06/09,541,
02LH009,1,2025/06/10,523,
02LH009,1,2025/06/11,483,
02LH009,1,2025/06/12,482,
02LH009,1,2025/06/13,479,
02LH009,1,2025/06/14,476,
02LH009,1,2025/06/15,477,
02LH009,1,2025/06/16,398,
02LH009,1,2025/06/17,368,
02LH009,1,2025/06/18,471,
02LH009,1,2025/06/19,502,
02LH009,1,2025/06/20,456,
02LH009,1,2025/06/21,362,
02LH009,1,2025/06/22,351,
02LH009,1,2025/06/23,331,
02LH009,1,2025/06/24,331,
02LH009,1,2025/06/25,310,
02LH009,1,2025/06/26,301,
02LH009,1,2025/06/27,293,
02LH009,1,2025/06/28,302,
02LH009,1,2025/06/29,312,
02LH009,1,2025/06/30,301,
02LH009,1,2025/07/01,343,
02LH009,1,2025/07/02,437,
02LH009,1,2025/07/03,436,
02LH009,1,2025/07/04,452,
02LH009,1,2025/07/05,448,
02LH009,1,2025/07/06,443,
02LH009,1,2025/07/07,424,
02LH009,1,2025/07/08,435,
02LH009,1,2025/07/09,444,
02LH009,1,2025/07/10,450,
02LH009,1,2025/07/11,455,
02LH009,1,2025/07/12,456,
02LH009,1,2025/07/13,455,
02LH009,1,2025/07/14,454,
02LH009,1,2025/07/15,442,
02LH009,1,2025/07/16,485,
02LH009,1,2025/07/17,484,
02LH009,1,2025/07/18,466,
02LH009,1,2025/07/19,479,
02LH009,1,2025/07/20,469,
02LH009,1,2025/07/21,496,
02LH009,1,2025/07/22,536,
02LH009,1,2025/07/23,529,
02LH009,1,2025/07/24,506,
02LH009,1,2025/07/25,514,
02LH009,1,2025/07/26,524,
02LH009,1,2025/07/27,502,
02LH009,1,2025/07/28,528,
02LH009,1,2025/07/29,494,
02LH009,1,2025/07/30,471,
02LH009,1,2025/07/31,413,
02LH009,1,2025/08/01,420,
02LH009,1,2025/08/02,411,
02LH009,1,2025/08/03,404,
02LH009,1,2025/08/04,410,
02LH009,1,2025/08/05,422,
02LH009,1,2025/08/06,412,
02LH009,1,2025/08/07,408,
02LH009,1,2025/08/08,396,
02LH009,1,2025/08/09,382,
02LH009,1,2025/08/10,365,
02LH009,1,2025/08/11,333,
02LH009,1,2025/08/12,334,
02LH009,1,2025/08/13,323,
02LH009,1,2025/08/14,322,
02LH009,1,2025/08/15,317,
02LH009,1,2025/08/16,308,
02LH009,1,2025/08/17,293,
02LH009,1,2025/08/18,296,
02LH009,1,2025/08/19,296,
02LH009,1,2025/08/20,265,
02LH009,1,2025/08/21,286,
02LH009,1,2025/08/22,297,
02LH009,1,2025/08/23,272,
02LH009,1,2025/08/24,272,
02LH009,1,2025/08/25,270,
02LH009,1,2025/08/26,271,
02LH009,1,2025/08/27,271,
02LH009,1,2025/08/28,272,
02LH009,1,2025/08/29,281,
02LH009,1,2025/08/30,300,
02LH009,1,2025/08/31,303,
02LH009,1,2025/09/01,289,
02LH009,1,2025/09/02,274,
02LH009,1,2025/09/03,240,
02LH009,1,2025/09/04,240,
02LH009,1,2025/09/05,241,
02LH009,1,2025/09/06,242,
02LH009,1,2025/09/07,241,
02LH009,1,2025/09/08,224,
02LH009,1,2025/09/09,220,
02LH009,1,2025/09/10,239,
02LH009,1,2025/09/11,211,
02LH009,1,2025/09/12,226,
02LH009,1,2025/09/13,226,
02LH009,1,2025/09/14,226,
02LH009,1,2025/09/15,226,
02LH009,1,2025/09/16,218,
02LH009,1,2025/09/17,214,
02LH009,1,2025/09/18,229,
02LH009,1,2025/09/19,223,
02LH009,1,2025/09/20,202,
02LH009,1,2025/09/21,205,
02LH009,1,2025/09/22,205,
02LH009,1,2025/09/23,197,
02LH009,1,2025/09/24,201,
02LH009,1,2025/09/25,210,
02LH009,1,2025/09/26,212,
02LH009,1,2025/09/27,221,
02LH009,1,2025/09/28,240,
02LH009,1,2025/09/29,243,
02LH009,1,2025/09/30,238,
02LH009,1,2025/10/01,232,
02LH009,1,2025/10/02,229,
02LH009,1,2025/10/03,229,
02LH009,1,2025/10/04,231,
02LH009,1,2025/10/05,223,
02LH009,1,2025/10/06,228,
02LH009,1,2025/10/07,228,
02LH009,1,2025/10/08,228,
02LH009,1,2025/10/09,228,
02LH009,1,2025/10/10,228,
02LH009,1,2025/10/11,228,
02LH009,1,2025/10/12,226,
02LH009,1,2025/10/13,214,
02LH009,1,2025/10/14,214,
02LH009,1,2025/10/15,208,
02LH009,1,2025/10/16,207,
02LH009,1,2025/10/17,202,
02LH009,1,2025/10/18,204,
02LH009,1,2025/10/19,207,
02LH009,1,2025/10/20,224,
02LH009,1,2025/10/21,221,
02LH009,1,2025/10/22,221,
02LH009,1,2025/10/23,218,
02LH009,1,2025/10/24,220,
02LH009,1,2025/10/25,221,
02LH009,1,2025/10/26,221,
02LH009,1,2025/10/27,221,
02LH009,1,2025/10/28,221,
02LH009,1,2025/10/29,209,
02LH009,1,2025/10/30,205,
02LH009,1,2025/10/31,209,
02LH009,1,2025/11/01,214,
02LH009,1,2025/11/02,244,
02LH009,1,2025/11/03,257,
02LH009,1,2025/11/04,249,
02LH009,1,2025/11/05,272,
02LH009,1,2025/11/06,281,
02LH009,1,2025/11/07,282,
02LH009,1,2025/11/08,284,
02LH009,1,2025/11/09,297,
02LH009,1,2025/11/10,298,
02LH009,1,2025/11/11,292,
02LH009,1,2025/11/12,278,
