 ID,PARAM,dateTime,Sarcelle,SYM
03DC005,1,2025/01/01,690,E
03DC005,1,2025/01/02,695,E
03DC005,1,2025/01/03,698,E
03DC005,1,2025/01/04,700,E
03DC005,1,2025/01/05,710,E
03DC005,1,2025/01/06,712,E
03DC005,1,2025/01/07,714,E
03DC005,1,2025/01/08,715,E
03DC005,1,2025/01/09,715,E
03DC005,1,2025/01/10,715,E
03DC005,1,2025/01/11,718,E
03DC005,1,2025/01/12,718,E
03DC005,1,2025/01/13,719,E
03DC005,1,2025/01/14,719,E
03DC005,1,2025/01/15,719,E
03DC005,1,2025/01/16,718,E
03DC005,1,2025/01/17,718,E
03DC005,1,2025/01/18,717,E
03DC005,1,2025/01/19,716,E
03DC005,1,2025/01/20,715,E
03DC005,1,2025/01/21,708,E
03DC005,1,2025/01/22,705,E
03DC005,1,2025/01/23,704,E
03DC005,1,2025/01/24,704,E
03DC005,1,2025/01/25,702,E
03DC005,1,2025/01/26,699,E
03DC005,1,2025/01/27,697,E
03DC005,1,2025/01/28,692,E
03DC005,1,2025/01/29,690,E
03DC005,1,2025/01/30,690,E
03DC005,1,2025/01/31,690,E
03DC005,1,2025/02/01,690,E
03DC005,1,2025/02/02,690,E
03DC005,1,2025/02/03,690,E
03DC005,1,2025/02/04,688,E
03DC005,1,2025/02/05,685,E
03DC005,1,2025/02/06,683,
03DC005,1,2025/02/07,688,
03DC005,1,2025/02/08,687,
03DC005,1,2025/02/09,682,
03DC005,1,2025/02/10,688,
03DC005,1,2025/02/11,685,
03DC005,1,2025/02/12,689,
03DC005,1,2025/02/13,688,
03DC005,1,2025/02/14,700,
03DC005,1,2025/02/15,665,
03DC005,1,2025/02/16,659,
03DC005,1,2025/02/17,668,
03DC005,1,2025/02/18,688,
03DC005,1,2025/02/19,689,
03DC005,1,2025/02/20,679,
03DC005,1,2025/02/21,686,
03DC005,1,2025/02/22,686,
03DC005,1,2025/02/23,681,
03DC005,1,2025/02/24,680,
03DC005,1,2025/02/25,676,
03DC005,1,2025/02/26,678,
03DC005,1,2025/02/27,676,
03DC005,1,2025/02/28,645,
03DC005,1,2025/03/01,679,
03DC005,1,2025/03/02,678,
03DC005,1,2025/03/03,671,
03DC005,1,2025/03/04,689,
03DC005,1,2025/03/05,670,
03DC005,1,2025/03/06,673,
03DC005,1,2025/03/07,673,
03DC005,1,2025/03/08,678,
03DC005,1,2025/03/09,678,
03DC005,1,2025/03/10,680,
03DC005,1,2025/03/11,678,
03DC005,1,2025/03/12,677,
03DC005,1,2025/03/13,682,
03DC005,1,2025/03/14,670,
03DC005,1,2025/03/15,587,
03DC005,1,2025/03/16,563,
03DC005,1,2025/03/17,510,
03DC005,1,2025/03/18,468,
03DC005,1,2025/03/19,434,
03DC005,1,2025/03/20,403,
03DC005,1,2025/03/21,376,
03DC005,1,2025/03/22,357,
03DC005,1,2025/03/23,336,
03DC005,1,2025/03/24,317,
03DC005,1,2025/03/25,300,
03DC005,1,2025/03/26,284,
03DC005,1,2025/03/27,276,
03DC005,1,2025/03/28,274,
03DC005,1,2025/03/29,263,
03DC005,1,2025/03/30,253,
03DC005,1,2025/03/31,247,
03DC005,1,2025/04/01,239,
03DC005,1,2025/04/02,241,
03DC005,1,2025/04/03,235,
03DC005,1,2025/04/04,226,
03DC005,1,2025/04/05,222,
03DC005,1,2025/04/06,220,
03DC005,1,2025/04/07,211,
03DC005,1,2025/04/08,206,
03DC005,1,2025/04/09,203,
03DC005,1,2025/04/10,199,
03DC005,1,2025/04/11,192,
03DC005,1,2025/04/12,191,
03DC005,1,2025/04/13,187,
03DC005,1,2025/04/14,190,
03DC005,1,2025/04/15,192,
03DC005,1,2025/04/16,190,
03DC005,1,2025/04/17,189,
03DC005,1,2025/04/18,184,
03DC005,1,2025/04/19,184,
03DC005,1,2025/04/20,183,
03DC005,1,2025/04/21,186,
03DC005,1,2025/04/22,182,
03DC005,1,2025/04/23,191,
03DC005,1,2025/04/24,191,
03DC005,1,2025/04/25,190,
03DC005,1,2025/04/26,190,
03DC005,1,2025/04/27,190,
03DC005,1,2025/04/28,192,
03DC005,1,2025/04/29,193,
03DC005,1,2025/04/30,192,
03DC005,1,2025/05/01,192,
03DC005,1,2025/05/02,192,
03DC005,1,2025/05/03,191,
03DC005,1,2025/05/04,190,
03DC005,1,2025/05/05,188,
03DC005,1,2025/05/06,187,
03DC005,1,2025/05/07,186,
03DC005,1,2025/05/08,184,
03DC005,1,2025/05/09,186,
03DC005,1,2025/05/10,186,
03DC005,1,2025/05/11,184,
03DC005,1,2025/05/12,185,
03DC005,1,2025/05/13,185,
03DC005,1,2025/05/14,184,
03DC005,1,2025/05/15,184,
03DC005,1,2025/05/16,185,
03DC005,1,2025/05/17,185,
03DC005,1,2025/05/18,185,
03DC005,1,2025/05/19,187,
03DC005,1,2025/05/20,191,
03DC005,1,2025/05/21,195,
03DC005,1,2025/05/22,203,
03DC005,1,2025/05/23,221,
03DC005,1,2025/05/24,230,
03DC005,1,2025/05/25,232,
03DC005,1,2025/05/26,244,
03DC005,1,2025/05/27,246,
03DC005,1,2025/05/28,254,
03DC005,1,2025/05/29,254,
03DC005,1,2025/05/30,259,
03DC005,1,2025/05/31,260,
03DC005,1,2025/06/01,271,
03DC005,1,2025/06/02,272,
03DC005,1,2025/06/03,275,
03DC005,1,2025/06/04,280,
03DC005,1,2025/06/05,282,
03DC005,1,2025/06/06,284,
03DC005,1,2025/06/07,289,
03DC005,1,2025/06/08,288,
03DC005,1,2025/06/09,291,
03DC005,1,2025/06/10,293,
03DC005,1,2025/06/11,288,
03DC005,1,2025/06/12,277,
03DC005,1,2025/06/13,281,
03DC005,1,2025/06/14,251,
03DC005,1,2025/06/15,228,
03DC005,1,2025/06/16,208,
03DC005,1,2025/06/17,90.0,
03DC005,1,2025/06/18,93.3,
03DC005,1,2025/06/19,88.4,
03DC005,1,2025/06/20,78.5,
03DC005,1,2025/06/21,73.7,
03DC005,1,2025/06/22,70.8,
03DC005,1,2025/06/23,66.9,
03DC005,1,2025/06/24,63.9,
03DC005,1,2025/06/25,61.6,
03DC005,1,2025/06/26,56.2,
03DC005,1,2025/06/27,55.2,
03DC005,1,2025/06/28,54.8,
03DC005,1,2025/06/29,51.1,
03DC005,1,2025/06/30,47.4,
03DC005,1,2025/07/01,44.6,
03DC005,1,2025/07/02,44.5,
03DC005,1,2025/07/03,42.7,
03DC005,1,2025/07/04,36.5,
03DC005,1,2025/07/05,31.9,
03DC005,1,2025/07/06,34.5,
03DC005,1,2025/07/07,36.7,
03DC005,1,2025/07/08,33.5,
03DC005,1,2025/07/09,46.6,
03DC005,1,2025/07/10,67.2,
03DC005,1,2025/07/11,101,
03DC005,1,2025/07/12,125,
03DC005,1,2025/07/13,124,
03DC005,1,2025/07/14,123,
03DC005,1,2025/07/15,124,
03DC005,1,2025/07/16,116,
03DC005,1,2025/07/17,98.0,
03DC005,1,2025/07/18,91.8,
03DC005,1,2025/07/19,85.6,
03DC005,1,2025/07/20,75.7,
03DC005,1,2025/07/21,70.3,
03DC005,1,2025/07/22,70.0,
03DC005,1,2025/07/23,65.5,
03DC005,1,2025/07/24,82.3,
03DC005,1,2025/07/25,89.0,
03DC005,1,2025/07/26,86.6,
03DC005,1,2025/07/27,86.2,
03DC005,1,2025/07/28,79.5,
03DC005,1,2025/07/29,76.5,
