Nom,Active Turbines,Flow (m3/s),Power (MW)
Robert-Bourassa,1,151.1767825279735,176.34383013628957
Robert-Bourassa,1,153.00922837679744,179.23962624559053
Robert-Bourassa,1,154.84167422562135,182.12259092788705
Robert-Bourassa,1,156.67412007444526,184.99225101629946
Robert-Bourassa,1,158.5065659232692,187.84816350084753
Robert-Bourassa,1,160.3390117720931,190.6899155948118
Robert-Bourassa,1,162.17145762091704,193.51712480333768
Robert-Bourassa,1,164.00390346974098,196.3294389944186
Robert-Bourassa,1,165.83634931856486,199.1265364724106
Robert-Bourassa,1,167.6687951673888,201.90812605424114
Robert-Bourassa,1,169.50124101621273,204.67394714849246
Robert-Bourassa,1,171.33368686503664,207.42376983755636
Robert-Bourassa,1,173.16613271386055,210.15739496307702
Robert-Bourassa,1,174.9985785626845,212.8746542149201
Robert-Bourassa,1,176.8310244115084,215.57541022393158
Robert-Bourassa,1,178.66347026033233,218.25955665877873
Robert-Bourassa,1,180.49591610915624,220.92701832719658
Robert-Bourassa,1,182.32836195798015,223.57775128200302
Robert-Bourassa,1,184.1608078068041,226.21174293228597
Robert-Bourassa,1,185.99325365562802,228.82901216021565
Robert-Bourassa,1,187.82569950445193,231.42960944399684
Robert-Bourassa,1,189.65814535327587,234.01361698753644
Robert-Bourassa,1,191.49059120209975,236.58114885748566
Robert-Bourassa,1,193.3230370509237,239.13235112840843
Robert-Bourassa,1,195.15548289974762,241.66740203693521
Robert-Bourassa,1,196.98792874857156,244.186512145898
Robert-Bourassa,1,198.82037459739547,246.68992451959812
Robert-Bourassa,1,200.65282044621938,249.17791491155148
Robert-Bourassa,1,202.4852662950433,251.65079196629338
Robert-Bourassa,1,204.31771214386723,254.10889743711442
Robert-Bourassa,1,206.15015799269116,256.5526064219609
Robert-Bourassa,1,207.98260384151504,258.98232762019
Robert-Bourassa,1,209.81504969033898,261.39850361345043
Robert-Bourassa,1,211.64749553916292,263.8016111747047
Robert-Bourassa,1,213.47994138798683,266.1921616103958
Robert-Bourassa,1,215.31238723681076,268.57070114205754
Robert-Bourassa,1,217.14483308563467,270.93781133543587
Robert-Bourassa,1,218.97727893445858,273.2941095876263
Robert-Bourassa,1,220.80972478328252,275.64024968618617
Robert-Bourassa,1,222.64217063210643,277.9769224591937
Robert-Bourassa,1,224.47461648093037,280.30485654276777
Robert-Bourassa,1,226.30706232975427,282.62481930429954
Robert-Bourassa,1,228.1395081785782,284.93761797883184
Robert-Bourassa,1,229.97195402740212,287.24410110915164
Robert-Bourassa,1,231.80439987622606,289.5451604417392
Robert-Bourassa,1,233.63684572504994,291.8417335567192
Robert-Bourassa,1,235.46929157387387,294.13480780553823
Robert-Bourassa,1,237.3017374226978,296.4254269891103
Robert-Bourassa,1,239.13418327152175,298.7147060825888
Robert-Bourassa,1,240.96662912034566,300.9992697809652
Robert-Bourassa,1,242.79907496916957,303.2833809518446
Robert-Bourassa,1,244.63152081799348,305.56741881464643
Robert-Bourassa,1,246.4639666668174,307.8513833693704
Robert-Bourassa,1,248.29641251564135,310.1352746160165
Robert-Bourassa,1,250.1288583644653,312.41909255458484
Robert-Bourassa,1,251.96130421328917,314.7028371850753
Robert-Bourassa,1,253.7937500621131,316.98650850748794
Robert-Bourassa,1,255.626195910937,319.27010652182287
Robert-Bourassa,1,257.45864175976095,321.55363122807995
Robert-Bourassa,1,259.29108760858486,323.83708262625925
Robert-Bourassa,1,261.1235334574088,326.1204607163608
Robert-Bourassa,1,262.95597930623273,328.4037654983845
Robert-Bourassa,1,264.7884251550566,330.6869969723302
Robert-Bourassa,1,266.62087100388055,332.97015513819844
Robert-Bourassa,1,268.45331685270446,335.25323999598874
Robert-Bourassa,1,270.2857627015284,337.53625154570125
Robert-Bourassa,1,272.11820855035234,339.8191897873358
Robert-Bourassa,1,273.95065439917624,342.1020547208927
Robert-Bourassa,1,275.78310024800015,344.38484634637183
Robert-Bourassa,1,277.61554609682406,346.66756466377296
Robert-Bourassa,1,279.447991945648,348.9502096730965
Robert-Bourassa,1,281.28043779447194,351.23278137434215
Robert-Bourassa,1,283.11288364329585,353.51527976751004
Robert-Bourassa,1,284.94532949211975,355.7977048526
Robert-Bourassa,1,286.77777534094366,358.0800566296123
Robert-Bourassa,1,288.6102211897676,360.3623350985467
Robert-Bourassa,1,290.44266703859154,362.64454025940336
Robert-Bourassa,1,292.27511288741545,364.92667211218213
Robert-Bourassa,1,294.10755873623935,367.2087306568832
Robert-Bourassa,1,295.9400045850633,369.49071589350655
Robert-Bourassa,1,297.77245043388723,371.77262782205185
Robert-Bourassa,1,299.60489628271114,374.05446644251947
Robert-Bourassa,1,301.43734213153505,376.33623175490925
Robert-Bourassa,1,303.26978798035896,378.6209568809404
Robert-Bourassa,1,305.1022338291829,380.9086968016713
Robert-Bourassa,1,306.9346796780068,383.1964367224019
Robert-Bourassa,1,308.76712552683074,385.48417664313274
Robert-Bourassa,1,310.59957137565465,387.7719165638635
Robert-Bourassa,1,312.4320172244786,390.05965648459426
Robert-Bourassa,1,314.2644630733025,392.347396405325
Robert-Bourassa,1,316.0969089221264,394.63513632605566
Robert-Bourassa,1,317.9293547709504,396.92287624678664
Robert-Bourassa,1,319.76180061977425,399.2106161675173
Robert-Bourassa,1,321.5942464685982,401.4983560882481
Robert-Bourassa,1,323.4266923174221,403.78609600897886
Robert-Bourassa,1,325.259138166246,406.0738359297095
Robert-Bourassa,1,327.09158401507,408.3615758504404
Robert-Bourassa,1,328.92402986389385,410.649315771171
Robert-Bourassa,1,330.7564757127178,412.9370556919019
Robert-Bourassa,1,332.5889215615417,415.2247956126326
Robert-Bourassa,2,302.353565055947,352.68766027257914
Robert-Bourassa,2,306.0184567535949,358.47925249118106
Robert-Bourassa,2,309.6833484512427,364.2451818557741
Robert-Bourassa,2,313.3482401488905,369.9845020325989
Robert-Bourassa,2,317.0131318465384,375.69632700169507
Robert-Bourassa,2,320.6780235441862,381.3798311896236
Robert-Bourassa,2,324.3429152418341,387.03424960667536
Robert-Bourassa,2,328.00780693948195,392.6588779888372
Robert-Bourassa,2,331.6726986371297,398.2530729448212
Robert-Bourassa,2,335.3375903347776,403.8162521084823
Robert-Bourassa,2,339.00248203242546,409.3478942969849
Robert-Bourassa,2,342.6673737300733,414.8475396751127
Robert-Bourassa,2,346.3322654277211,420.31478992615405
Robert-Bourassa,2,349.997157125369,425.7493084298402
Robert-Bourassa,2,353.6620488230168,431.15082044786317
Robert-Bourassa,2,357.32694052066466,436.51911331755747
Robert-Bourassa,2,360.9918322183125,441.85403665439316
Robert-Bourassa,2,364.6567239159603,447.15550256400604
Robert-Bourassa,2,368.3216156136082,452.42348586457194
Robert-Bourassa,2,371.98650731125605,457.6580243204313
Robert-Bourassa,2,375.65139900890387,462.8592188879937
Robert-Bourassa,2,379.31629070655174,468.0272339750729
Robert-Bourassa,2,382.9811824041995,473.1622977149713
Robert-Bourassa,2,386.6460741018474,478.26470225681686
Robert-Bourassa,2,390.31096579949525,483.33480407387043
Robert-Bourassa,2,393.9758574971431,488.373024291796
Robert-Bourassa,2,397.64074919479094,493.37984903919624
Robert-Bourassa,2,401.30564089243876,498.35582982310297
Robert-Bourassa,2,404.9705325900866,503.30158393258677
Robert-Bourassa,2,408.63542428773445,508.21779487422884
Robert-Bourassa,2,412.3003159853823,513.1052128439218
Robert-Bourassa,2,415.9652076830301,517.96465524038
Robert-Bourassa,2,419.63009938067796,522.7970072269009
Robert-Bourassa,2,423.29499107832584,527.6032223494094
Robert-Bourassa,2,426.95988277597365,532.3843232207915
Robert-Bourassa,2,430.6247744736215,537.1414022841151
Robert-Bourassa,2,434.28966617126935,541.8756226708717
Robert-Bourassa,2,437.95455786891716,546.5882191752526
Robert-Bourassa,2,441.61944956656504,551.2804993723723
Robert-Bourassa,2,445.28434126421286,555.9538449183874
Robert-Bourassa,2,448.94923296186073,560.6097130855355
Robert-Bourassa,2,452.61412465950855,565.2496386085991
Robert-Bourassa,2,456.2790163571564,569.8752359576637
Robert-Bourassa,2,459.94390805480424,574.4882022183033
Robert-Bourassa,2,463.6087997524521,579.0903208834784
Robert-Bourassa,2,467.2736914500999,583.6834671134384
Robert-Bourassa,2,470.93858314774775,588.2696156110765
Robert-Bourassa,2,474.6034748453956,592.8508539782206
Robert-Bourassa,2,478.2683665430435,597.4294121651776
Robert-Bourassa,2,481.9332582406913,601.9985395619304
Robert-Bourassa,2,485.59814993833913,606.5667619036892
Robert-Bourassa,2,489.26304163598695,611.1348376292929
Robert-Bourassa,2,492.9279333336348,615.7027667387408
Robert-Bourassa,2,496.5928250312827,620.270549232033
Robert-Bourassa,2,500.2577167289306,624.8381851091697
Robert-Bourassa,2,503.92260842657834,629.4056743701506
Robert-Bourassa,2,507.5875001242262,633.9730170149759
Robert-Bourassa,2,511.252391821874,638.5402130436457
Robert-Bourassa,2,514.9172835195219,643.1072624561599
Robert-Bourassa,2,518.5821752171697,647.6741652525185
Robert-Bourassa,2,522.2470669148177,652.2409214327216
Robert-Bourassa,2,525.9119586124655,656.807530996769
Robert-Bourassa,2,529.5768503101132,661.3739939446604
Robert-Bourassa,2,533.2417420077611,665.9403102763969
Robert-Bourassa,2,536.9066337054089,670.5064799919775
Robert-Bourassa,2,540.5715254030569,675.0725030914025
Robert-Bourassa,2,544.2364171007047,679.6383795746716
Robert-Bourassa,2,547.9013087983525,684.2041094417854
Robert-Bourassa,2,551.5662004960003,688.7696926927437
Robert-Bourassa,2,555.2310921936481,693.3351293275459
Robert-Bourassa,2,558.895983891296,697.900419346193
Robert-Bourassa,2,562.5608755889439,702.4655627486843
Robert-Bourassa,2,566.2257672865917,707.0305595350201
Robert-Bourassa,2,569.8906589842395,711.5954097052
Robert-Bourassa,2,573.5555506818873,716.1601132592245
Robert-Bourassa,2,577.2204423795353,720.7246701970934
Robert-Bourassa,2,580.8853340771831,725.2890805188067
Robert-Bourassa,2,584.5502257748309,729.8533442243643
Robert-Bourassa,2,588.2151174724787,734.4174613137664
Robert-Bourassa,2,591.8800091701266,738.9814317870131
Robert-Bourassa,2,595.5449008677745,743.5452556441037
Robert-Bourassa,2,599.2097925654223,748.1089328850389
Robert-Bourassa,2,602.8746842630701,752.6724635098185
Robert-Bourassa,2,606.5395759607179,757.2419137618808
Robert-Bourassa,2,610.2044676583658,761.8173936033426
Robert-Bourassa,2,613.8693593560135,766.3928734448039
Robert-Bourassa,2,617.5342510536615,770.9683532862655
Robert-Bourassa,2,621.1991427513093,775.543833127727
Robert-Bourassa,2,624.8640344489572,780.1193129691885
Robert-Bourassa,2,628.528926146605,784.69479281065
Robert-Bourassa,2,632.1938178442527,789.2702726521113
Robert-Bourassa,2,635.8587095419008,793.8457524935733
Robert-Bourassa,2,639.5236012395485,798.4212323350346
Robert-Bourassa,2,643.1884929371964,802.9967121764962
Robert-Bourassa,2,646.8533846348442,807.5721920179577
Robert-Bourassa,2,650.518276332492,812.147671859419
Robert-Bourassa,2,654.18316803014,816.7231517008807
Robert-Bourassa,2,657.8480597277877,821.298631542342
Robert-Bourassa,2,661.5129514254356,825.8741113838038
Robert-Bourassa,2,665.1778431230834,830.4495912252652
Robert-Bourassa,3,453.5303475839205,529.0314904088686
Robert-Bourassa,3,459.02768513039234,537.7188787367717
Robert-Bourassa,3,464.52502267686407,546.3677727836612
Robert-Bourassa,3,470.0223602233358,554.9767530488984
Robert-Bourassa,3,475.5196977698076,563.5444905025425
Robert-Bourassa,3,481.0170353162793,572.0697467844353
Robert-Bourassa,3,486.5143728627511,580.551374410013
Robert-Bourassa,3,492.0117104092229,588.9883169832558
Robert-Bourassa,3,497.50904795569454,597.3796094172318
Robert-Bourassa,3,503.0063855021664,605.7243781627235
Robert-Bourassa,3,508.5037230486382,614.0218414454774
Robert-Bourassa,3,514.00106059511,622.2713095126691
Robert-Bourassa,3,519.4983981415817,630.4721848892311
Robert-Bourassa,3,524.9957356880534,638.6239626447602
Robert-Bourassa,3,530.4930732345251,646.7262306717948
Robert-Bourassa,3,535.990410780997,654.7786699763362
Robert-Bourassa,3,541.4877483274687,662.7810549815897
Robert-Bourassa,3,546.9850858739404,670.733253846009
Robert-Bourassa,3,552.4824234204123,678.6352287968579
Robert-Bourassa,3,557.9797609668841,686.4870364806469
Robert-Bourassa,3,563.4770985133558,694.2888283319905
Robert-Bourassa,3,568.9744360598277,702.0408509626093
Robert-Bourassa,3,574.4717736062993,709.743446572457
Robert-Bourassa,3,579.9691111527711,717.3970533852253
Robert-Bourassa,3,585.4664486992428,725.0022061108057
Robert-Bourassa,3,590.9637862457147,732.559536437694
Robert-Bourassa,3,596.4611237921864,740.0697735587944
Robert-Bourassa,3,601.9584613386581,747.5337447346544
Robert-Bourassa,3,607.4557988851299,754.9523758988802
Robert-Bourassa,3,612.9531364316017,762.3266923113433
Robert-Bourassa,3,618.4504739780734,769.6578192658827
Robert-Bourassa,3,623.9478115245452,776.9469828605701
Robert-Bourassa,3,629.4451490710169,784.1955108403512
Robert-Bourassa,3,634.9424866174887,791.404833524114
Robert-Bourassa,3,640.4398241639605,798.5764848311873
Robert-Bourassa,3,645.9371617104323,805.7121034261726
Robert-Bourassa,3,651.434499256904,812.8134340063077
Robert-Bourassa,3,656.9318368033757,819.8823287628788
Robert-Bourassa,3,662.4291743498476,826.9207490585584
Robert-Bourassa,3,667.9265118963193,833.930767377581
Robert-Bourassa,3,673.4238494427912,840.9145696283034
Robert-Bourassa,3,678.9211869892629,847.8744579128986
Robert-Bourassa,3,684.4185245357346,854.8128539364955
Robert-Bourassa,3,689.9158620822063,861.7323033274549
Robert-Bourassa,3,695.4131996286782,868.6354813252175
Robert-Bourassa,3,700.9105371751498,875.5252006701576
Robert-Bourassa,3,706.4078747216216,882.4044234166148
Robert-Bourassa,3,711.9052122680935,889.2762809673309
Robert-Bourassa,3,717.4025498145652,896.1441182477665
Robert-Bourassa,3,722.8998873610369,902.9978093428956
Robert-Bourassa,3,728.3972249075086,909.8501428555338
Robert-Bourassa,3,733.8945624539804,916.7022564439393
Robert-Bourassa,3,739.3919000004522,923.5541501081113
Robert-Bourassa,3,744.889237546924,930.4058238480494
Robert-Bourassa,3,750.3865750933959,937.2572776637545
