Date;Hydraulique;Eolien;Autres;Solaire;Thermique;Total 
2022-01-01 00:30;24254;599;546;0;0;25399
2022-01-01 01:30;23915;585;544;0;0;25044
2022-01-01 02:30;23201;560;566;0;0;24327
2022-01-01 03:30;23225;620;565;0;0;24410
2022-01-01 04:30;23272;689;564;0;0;24525
2022-01-01 05:30;23353;866;564;0;0;24783
2022-01-01 06:30;24028;935;564;0;0;25527
2022-01-01 07:30;24870;1029;562;0;0;26461
2022-01-01 08:30;25503;1127;563;0;0;27193
2022-01-01 09:30;26093;1342;563;0;0;27998
2022-01-01 10:30;26474;1440;562;0;0;28476
2022-01-01 11:30;26773;1328;562;0;0;28663
2022-01-01 12:30;26618;1277;562;0;0;28457
2022-01-01 13:30;26126;1450;562;0;0;28138
2022-01-01 14:30;25934;1316;562;0;0;27812
2022-01-01 15:30;26629;1025;563;0;0;28217
2022-01-01 16:30;28243;802;562;0;0;29607
2022-01-01 17:30;29955;657;563;0;0;31175
2022-01-01 18:30;28466;532;563;0;0;29561
2022-01-01 19:30;27376;478;562;0;0;28416
2022-01-01 20:30;26658;315;561;0;0;27534
2022-01-01 21:30;26190;311;561;0;0;27062
2022-01-01 22:30;25534;359;562;0;0;26455
2022-01-01 23:30;24428;471;560;0;0;25459
2022-01-02 00:30;23719;578;561;0;0;24858
2022-01-02 01:30;23233;599;563;0;0;24395
2022-01-02 02:30;23543;452;562;0;0;24557
2022-01-02 03:30;24032;410;560;0;0;25002
2022-01-02 04:30;24981;425;560;0;0;25966
2022-01-02 05:30;25556;408;561;0;0;26525
2022-01-02 06:30;26709;479;560;0;0;27748
2022-01-02 07:30;28092;435;560;0;0;29087
2022-01-02 08:30;29119;465;559;0;0;30143
2022-01-02 09:30;30818;596;560;0;0;31974
2022-01-02 10:30;32425;491;560;0;0;33476
2022-01-02 11:30;32941;396;561;0;0;33898
2022-01-02 12:30;32574;457;560;0;0;33591
2022-01-02 13:30;32776;418;561;0;0;33755
2022-01-02 14:30;32701;447;560;0;0;33708
2022-01-02 15:30;33322;509;562;0;0;34393
2022-01-02 16:30;34929;626;561;0;0;36116
2022-01-02 17:30;35783;674;562;0;0;37019
2022-01-02 18:30;35276;792;563;0;0;36631
2022-01-02 19:30;34734;880;563;0;0;36177
2022-01-02 20:30;34152;978;563;0;0;35693
2022-01-02 21:30;33324;1189;562;0;0;35075
2022-01-02 22:30;32281;1397;563;0;0;34241
2022-01-02 23:30;31385;1486;563;0;0;33434
2022-01-03 00:30;31051;1549;563;0;0;33163
2022-01-03 01:30;30972;1589;563;0;0;33124
2022-01-03 02:30;31571;1497;562;0;0;33630
2022-01-03 03:30;31688;1323;563;0;0;33574
2022-01-03 04:30;32311;1402;561;0;0;34274
2022-01-03 05:30;34114;1292;561;0;0;35967
2022-01-03 06:30;35414;1396;562;0;0;37372
2022-01-03 07:30;36838;1292;563;0;0;38693
2022-01-03 08:30;36974;1149;563;0;0;38686
2022-01-03 09:30;36079;1063;562;0;0;37704
2022-01-03 10:30;35622;849;560;0;0;37031
2022-01-03 11:30;35071;801;565;0;0;36437
2022-01-03 12:30;34582;748;558;1;0;35889
2022-01-03 13:30;34134;650;560;1;0;35345
2022-01-03 14:30;34250;600;562;0;0;35412
2022-01-03 15:30;35007;606;561;0;0;36174
2022-01-03 16:30;35661;689;563;0;0;36913
2022-01-03 17:30;36547;746;560;0;0;37853
2022-01-03 18:30;36316;880;561;0;0;37757
2022-01-03 19:30;35633;906;562;0;0;37101
2022-01-03 20:30;35818;823;563;0;0;37204
2022-01-03 21:30;36430;675;562;0;0;37667
2022-01-03 22:30;36274;496;564;0;0;37334
2022-01-03 23:30;35683;446;563;0;0;36692
2022-01-04 00:30;35092;379;563;0;0;36034
2022-01-04 01:30;33820;512;563;0;408;35303
2022-01-04 02:30;33382;754;564;0;410;35110
2022-01-04 03:30;33313;706;564;0;408;34991
2022-01-04 04:30;31550;709;562;0;0;32821
2022-01-04 05:30;32076;921;558;0;403;33958
