Scenario,Croissance,Efficacite,Secteur,Type d'energie,Valeur
optimiste,faible,faible,Transport,gaz,200
optimiste,faible,faible,Transport,electrique,300
optimiste,faible,faible,Batiment,gaz,150
optimiste,faible,faible,Batiment,electrique,250
optimiste,faible,faible,Industrie,gaz,180
optimiste,faible,faible,Industrie,electrique,220
optimiste,moyen,moyen,Transport,gaz,250
optimiste,moyen,moyen,Transport,electrique,350
optimiste,moyen,moyen,Batiment,gaz,180
optimiste,moyen,moyen,Batiment,electrique,280
optimiste,moyen,moyen,Industrie,gaz,200
optimiste,moyen,moyen,Industrie,electrique,260
optimiste,elevee,elevee,Transport,gaz,300
optimiste,elevee,elevee,Transport,electrique,400
optimiste,elevee,elevee,Batiment,gaz,200
optimiste,elevee,elevee,Batiment,electrique,320
optimiste,elevee,elevee,Industrie,gaz,240
optimiste,elevee,elevee,Industrie,electrique,300
neutre,faible,faible,Transport,gaz,220
neutre,faible,faible,Transport,electrique,320
neutre,faible,faible,Batiment,gaz,160
neutre,faible,faible,Batiment,electrique,270
neutre,faible,faible,Industrie,gaz,190
neutre,faible,faible,Industrie,electrique,230
neutre,moyen,moyen,Transport,gaz,270
neutre,moyen,moyen,Transport,electrique,360
neutre,moyen,moyen,Batiment,gaz,190
neutre,moyen,moyen,Batiment,electrique,300
neutre,moyen,moyen,Industrie,gaz,220
neutre,moyen,moyen,Industrie,electrique,280
neutre,elevee,elevee,Transport,gaz,320
neutre,elevee,elevee,Transport,electrique,420
neutre,elevee,elevee,Batiment,gaz,210
neutre,elevee,elevee,Batiment,electrique,340
neutre,elevee,elevee,Industrie,gaz,250
neutre,elevee,elevee,Industrie,electrique,320
pessimiste,faible,faible,Transport,gaz,240
pessimiste,faible,faible,Transport,electrique,340
pessimiste,faible,faible,Batiment,gaz,170
pessimiste,faible,faible,Batiment,electrique,290
pessimiste,faible,faible,Industrie,gaz,200
pessimiste,faible,faible,Industrie,electrique,240
pessimiste,moyen,moyen,Transport,gaz,290
pessimiste,moyen,moyen,Transport,electrique,380
pessimiste,moyen,moyen,Batiment,gaz,200
pessimiste,moyen,moyen,Batiment,electrique,320
pessimiste,moyen,moyen,Industrie,gaz,230
pessimiste,moyen,moyen,Industrie,electrique,290
pessimiste,elevee,elevee,Transport,gaz,350
pessimiste,elevee,elevee,Transport,electrique,450
pessimiste,elevee,elevee,Batiment,gaz,220
pessimiste,elevee,elevee,Batiment,electrique,360
pessimiste,elevee,elevee,Industrie,gaz,270
pessimiste,elevee,elevee,Industrie,electrique,340
