transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,ttc_summer,ttc_winter,network_node_name_starting,latitude_starting,longitude_starting,network_node_code_starting,network_node_name_ending,latitude_ending,longitude_ending,network_node_code_ending,notes
1,,,,,,,,,,,80,,,,Node_2,48.6548709,-67.8430015,Node_2,Node_1,47.7370383,-69.5568875,Node_1,1
2,,,,,,,,,,,80,,,,Node_3,49.1890673,-65.6017718,Node_3,Node_2,48.6548709,-67.8430015,Node_2,1
3,,,,,,,,,,,80,,,,Node_4,48.1149537,-66.2609327,Node_4,Node_1,47.7370383,-69.5568875,Node_1,1
4,,,,,,,,,,,80,,,,Node_8,53.7047995,-77.7719418,Node_8,Node_7,53.7567938,-77.9477231,Node_7,2
5,,,,,,,,,,,80,,,,Node_9,53.5875771,-76.1239926,Node_9,Node_8,53.7047995,-77.7719418,Node_8,1
6,,,,,,,,,,,80,,,,Node_10,53.4307732,-75.0912778,Node_10,Node_9,53.5875771,-76.1239926,Node_9,1
7,,,,,,,,,,,80,,,,Node_11,53.7438013,-73.4213559,Node_11,Node_10,53.4307732,-75.0912778,Node_10,3
8,,,,,,,,,,,80,,,,Node_12,51.6879428,-76.2568664,Node_12,Node_7,53.7567938,-77.9477231,Node_7,2
9,,,,,,,,,,,80,,,,Node_12,51.6879428,-76.2568664,Node_12,Node_8,53.7047995,-77.7719418,Node_8,2
10,,,,,,,,,,,80,,,,Node_13,51.513848,-75.6873611,Node_13,Node_9,53.5875771,-76.1239926,Node_9,1
11,,,,,,,,,,,80,,,,Node_13,51.513848,-75.6873611,Node_13,Node_10,53.4307732,-75.0912778,Node_10,2
12,,,,,,,,,,,80,,,,Node_13,51.513848,-75.6873611,Node_13,Node_12,51.6879428,-76.2568664,Node_12,1
13,,,,,,,,,,,80,,,,Node_14,49.9137407,-74.3713954,Node_14,Node_13,51.513848,-75.6873611,Node_13,3
14,,,,,,,,,,,80,,,,Node_15,49.8071778,-75.4563038,Node_15,Node_12,51.6879428,-76.2568664,Node_12,3
15,,,,,,,,,,,80,,,,Node_15,49.8071778,-75.4563038,Node_15,Node_14,49.9137407,-74.3713954,Node_14,1
16,,,,,,,,,,,80,,,,Node_16,45.5533303,-74.3034735,Node_16,Node_5,46.2022216,-74.5233463,Node_5,2
17,,,,,,,,,,,80,,,,Node_17,45.5995652,-73.924466,Node_17,Node_6,45.6474342,-73.3792461,Node_6,3
18,,,,,,,,,,,80,,,,Node_17,45.5995652,-73.924466,Node_17,Node_16,45.5533303,-74.3034735,Node_16,3
19,,,,,,,,,,,80,,,,Node_18,45.837338,-73.1499338,Node_18,Node_6,45.6474342,-73.3792461,Node_6,2
20,,,,,,,,,,,80,,,,Node_19,45.2061168,-74.0068446,Node_19,Node_16,45.5533303,-74.3034735,Node_16,3
21,,,,,,,,,,,80,,,,Node_20,45.4106519,-73.3696835,Node_20,Node_6,45.6474342,-73.3792461,Node_6,4
22,,,,,,,,,,,80,,,,Node_20,45.4106519,-73.3696835,Node_20,Node_19,45.2061168,-74.0068446,Node_19,3
23,,,,,,,,,,,80,,,,Node_21,45.4109587,-72.7379344,Node_21,Node_20,45.4106519,-73.3696835,Node_20,3
