Line_id,Code_starting,Code_ending,Length_km,Voltage_kV,Intensity_A,R,X
1,Node_2,Node_1,162.9461,450,1206,4.725436,46.765520
2,Node_3,Node_2,174.1868,450,1206,5.051417,49.991613
3,Node_4,Node_1,249.1324,735,1573,4.633863,64.276168
4,Node_8,Node_7,12.9278,735,1573,0.240458,3.335382
5,Node_9,Node_8,109.3980,735,1573,2.034803,28.224688
6,Node_10,Node_9,70.4803,735,1573,1.310933,18.183913
7,Node_11,Node_10,115.5852,735,1573,2.149885,29.820989
8,Node_11,Node_10,115.5852,735,1573,2.149885,29.820989
9,Node_11,Node_10,115.5852,735,1573,2.149885,29.820989
10,Node_12,Node_7,278.9542,735,1573,5.188548,71.970177
11,Node_12,Node_7,278.9542,735,1573,5.188548,71.970177
12,Node_12,Node_8,268.6979,735,1573,4.997780,69.324050
13,Node_13,Node_9,232.4691,735,1573,4.323924,59.977016
14,Node_13,Node_10,216.9404,735,1573,4.035091,55.970621
15,Node_13,Node_10,216.9404,735,1573,4.035091,55.970621
16,Node_13,Node_12,30.6225,735,1573,0.569579,7.900617
17,Node_14,Node_13,201.1873,735,1573,3.742083,51.906317
18,Node_14,Node_13,201.1873,735,1573,3.742083,51.906317
19,Node_14,Node_13,201.1873,735,1573,3.742083,51.906317
20,Node_15,Node_12,194.5136,735,1573,3.617953,50.184515
21,Node_15,Node_12,194.5136,735,1573,3.617953,50.184515
22,Node_15,Node_12,194.5136,735,1573,3.617953,50.184515
23,Node_15,Node_14,44.2228,735,1573,0.822544,11.409477
24,Node_16,Node_5,74.1338,735,1573,1.378888,19.126515
25,Node_17,Node_6,42.7325,735,1573,0.794825,11.024989
26,Node_17,Node_16,29.9434,735,1573,0.556947,7.725397
27,Node_18,Node_6,27.6145,735,1573,0.513629,7.124530
28,Node_19,Node_16,45.0261,735,1573,0.837485,11.616734
29,Node_20,Node_6,26.3395,735,1573,0.489915,6.795598
30,Node_20,Node_6,26.3395,735,1573,0.489915,6.795598
31,Node_20,Node_19,54.7724,735,1573,1.018766,14.131271
32,Node_21,Node_20,49.3148,735,1573,0.917255,12.723219
33,Node_22,Node_21,73.3355,735,1573,1.364041,18.920562
34,Node_23,Node_6,99.5976,735,1573,1.852515,25.696176
35,Node_23,Node_6,99.5976,735,1573,1.852515,25.696176
36,Node_23,Node_22,56.9561,735,1573,1.059383,14.694669
37,Node_24,Node_5,156.6692,735,1573,2.914048,40.420660
38,Node_24,Node_15,252.9298,735,1573,4.704494,65.255885
39,Node_24,Node_15,252.9298,735,1573,4.704494,65.255885
40,Node_24,Node_15,252.9298,735,1573,4.704494,65.255885
41,Node_24,Node_16,230.6380,735,1573,4.289867,59.504613
42,Node_24,Node_17,235.8206,735,1573,4.386262,60.841702
43,Node_25,Node_14,187.6012,735,1573,3.489382,48.401099
44,Node_25,Node_14,187.6012,735,1573,3.489382,48.401099
45,Node_25,Node_14,187.6012,735,1573,3.489382,48.401099
46,Node_26,Node_25,134.4893,735,1573,2.501501,34.698242
47,Node_27,Node_17,227.1874,735,1573,4.225686,58.614360
48,Node_27,Node_18,164.2861,735,1573,3.055722,42.385825
49,Node_27,Node_25,229.0358,735,1573,4.260066,59.091243
50,Node_27,Node_25,229.0358,735,1573,4.260066,59.091243
51,Node_27,Node_26,181.8526,735,1573,3.382459,46.917975
52,Node_28,Node_27,30.5937,735,1573,0.569042,7.893169
53,Node_29,Node_1,159.4538,735,1573,2.965841,41.139078
54,Node_29,Node_23,125.6527,735,1573,2.337141,32.418405
55,Node_29,Node_23,125.6527,735,1573,2.337141,32.418405
56,Node_29,Node_28,22.9888,735,1573,0.427592,5.931118
57,Node_30,Node_22,106.0642,735,1573,1.972794,27.364557
58,Node_30,Node_29,62.9693,735,1573,1.171228,16.246072
59,Node_31,Node_26,224.5828,735,1573,4.177239,57.942354
60,Node_32,Node_31,63.0197,735,1573,1.172166,16.259072
61,Node_33,Node_29,213.2836,735,1573,3.967075,55.027170
62,Node_33,Node_29,213.2836,735,1573,3.967075,55.027170
63,Node_33,Node_29,213.2836,735,1573,3.967075,55.027170
64,Node_33,Node_32,144.9990,735,1573,2.696982,37.409747
65,Node_33,Node_32,144.9990,735,1573,2.696982,37.409747
66,Node_33,Node_32,144.9990,735,1573,2.696982,37.409747
67,Node_34,Node_31,146.0616,735,1573,2.716746,37.683893
68,Node_34,Node_32,139.7620,735,1573,2.599574,36.058606
69,Node_34,Node_32,139.7620,735,1573,2.599574,36.058606
70,Node_35,Node_34,217.8884,735,1573,4.052724,56.215199
71,Node_35,Node_34,217.8884,735,1573,4.052724,56.215199
72,Node_35,Node_34,217.8884,735,1573,4.052724,56.215199
73,Node_36,Node_34,268.3494,735,1573,4.991299,69.234152
74,Node_37,Node_28,164.8310,735,1573,3.065856,42.526390
75,Node_37,Node_31,202.4338,735,1573,3.765268,52.227910
76,Node_38,Node_11,276.1431,450,1206,8.008150,79.253071
77,Node_39,Node_3,62.4356,230,996,3.371524,24.724511
78,Node_40,Node_24,222.3431,450,1206,6.447951,63.812477
79,Node_41,Node_36,273.6965,230,996,14.779610,108.383803
80,Node_42,Node_27,131.2998,735,1573,2.442177,33.875353
81,Node_42,Node_25,136.9135,735,1573,2.546590,35.323673
82,Hydro_Robert-Bourassa,Node_8,17.9149,735,1573,0.333217,4.622041
83,Hydro_La Grande-4,Node_11,16.1455,735,1573,0.300306,4.165530
84,Hydro_La Grande-3,Node_9,17.9618,735,1573,0.334089,4.634143
85,Hydro_La grande-2-A,Node_8,16.8382,735,1573,0.313190,4.344253
86,Hydro_Beauharnois_Francis,Node_19,15.6076,735,1573,0.290301,4.026756
87,Hydro_Beauharnois_Kaplan,Node_19,15.6076,735,1573,0.290301,4.026756
88,Hydro_Manic-5,Node_31,93.8430,450,1206,2.721446,26.932935
89,Hydro_La grande-1,Node_7,41.2499,735,1573,0.767248,10.642470
90,Hydro_Rene-Levesque,Node_31,14.8465,735,1573,0.276145,3.830394
91,Hydro_Jean-Lesage,Node_32,6.9581,735,1573,0.129421,1.795199
92,Hydro_Bersimis-1,Node_31,78.6805,450,1206,2.281735,22.581304
93,Hydro_Manic-5-PA,Node_31,93.8354,450,1206,2.721225,26.930749
94,Hydro_Outardes-3,Node_31,26.9734,735,1573,0.501705,6.959131
95,Hydro_Sainte-Marguerite-3,Node_34,55.7558,450,1206,1.616917,16.001903
96,Hydro_Laforge-1,Node_11,70.9437,450,1206,2.057367,20.360835
97,Hydro_Bersimis-2,Node_32,72.9709,450,1206,2.116157,20.942659
98,Hydro_Outardes-4,Node_31,13.5383,735,1573,0.251812,3.492869
99,Hydro_Bernard-Landry,Node_12,75.6134,450,1206,2.192787,21.701032
100,Hydro_Carillon,Node_16,6.4662,735,1573,0.120271,1.668280
101,Hydro_Romaine-2,Node_36,8.5062,735,1573,0.158215,2.194590
102,Hydro_Toulnustouc,Node_31,48.6436,735,1573,0.904770,12.550037
103,Hydro_Outardes-2,Node_32,24.1216,735,1573,0.448662,6.223373
104,Hydro_Eastmain-1,Node_12,75.5847,450,1206,2.191957,21.692817
105,Hydro_Brisay,Node_11,205.0478,230,996,11.072579,81.198914
106,Hydro_Romaine-3,Node_36,63.6491,450,1206,1.845824,18.267293
107,Hydro_Peribonka,Node_26,119.2797,230,996,6.441105,47.234773
108,Hydro_Laforge-2,Node_11,168.7639,230,996,9.113251,66.830505
109,Hydro_Trenche,Node_42,31.3786,735,1573,0.583642,8.095685
110,Hydro_La tuque,Node_42,17.8001,735,1573,0.331082,4.592425
111,Hydro_Beaumont,Node_42,16.0957,735,1573,0.299379,4.152681
112,Hydro_Romaine-1,Node_36,23.7881,735,1573,0.442459,6.137338
113,Hydro_Romaine-4,Node_41,126.2081,230,996,6.815238,49.978412
114,Hydro_McCormick,Node_32,17.5518,735,1573,0.326463,4.528360
115,Hydro_Rocher-de-Grand-Mere,Node_27,87.3844,450,1206,2.534148,25.079329
116,Hydro_Paugan,Node_5,117.2907,230,996,6.333698,46.447118
117,Hydro_Rapide-Blanc,Node_42,34.5549,735,1573,0.642722,8.915171
118,Hydro_Shawinigan-2,Node_18,83.2951,450,1206,2.415559,23.905704
119,Hydro_Shawinigan-3,Node_18,82.9149,450,1206,2.404532,23.796578
120,Hydro_Manic-1,Node_32,17.7940,735,1573,0.330968,4.590844
121,Hydro_Rapides-des-Iles,Node_40,104.3194,230,996,5.633247,41.310480
122,Hydro_Chelsea,Node_16,114.9097,230,996,6.205124,45.504242
123,Hydro_Sarcelle,Node_9,107.7636,230,996,5.819236,42.674397
124,Hydro_La Gabelle,Node_18,74.9953,450,1206,2.174863,21.523648
125,Hydro_Premiere-Chute,Node_40,110.0788,230,996,5.944256,43.591208
126,Hydro_Les Cedres,Node_19,11.8565,735,1573,0.220531,3.058981
127,Hydro_Rapides-des-Quinze,Node_40,99.5240,450,1206,2.886196,28.563393
128,Hydro_Rapides-Farmer,Node_16,113.8828,230,996,6.149674,45.097606
129,Hydro_Chute-des-Chats,Node_16,151.0080,230,996,8.154431,59.799159
130,Hydro_Rapide-des-Coeurs,Node_42,42.2093,735,1573,0.785094,10.890011
131,Hydro_Chute-Allard,Node_42,68.6599,450,1206,1.991136,19.705385
132,Hydro_Bryson,Node_5,173.7531,230,996,9.382668,68.806233
133,Hydro_Rapide-2,Node_40,37.2250,735,1573,0.692385,9.604050
134,Hydro_Rapide-7,Node_40,27.0619,735,1573,0.503352,6.981979
135,Hydro_Mercier,Node_24,110.3103,230,996,5.956754,43.682862
136,Hydro_Riviere-des-Prairies,Node_17,20.8238,735,1573,0.387322,5.372531
137,Hydro_Hart-Jaune,Node_35,138.2568,230,996,7.465866,54.749682
138,Hydro_Chute-Hemmings,Node_23,24.2002,735,1573,0.450125,6.243664
139,Hydro_Lac-Robertson,Node_41,18.0238,735,1573,0.335242,4.650131
140,Hydro_Sept-Chutes,Node_28,36.2517,735,1573,0.674281,9.352926
141,Hydro_Drummondville,Node_23,26.6821,735,1573,0.496287,6.883978
142,Hydro_Chute-Bell,Node_16,38.4442,735,1573,0.715062,9.918602
143,Hydro_Churchill-Falls,Node_35,208.9944,230,996,11.285696,82.761768
144,Hydro_Gull-Island,Node_41,273.3387,230,996,14.760289,108.242121
145,Eolien_Baie-des-Sables,Node_2,5.8343,735,1573,0.108519,1.505259
146,Eolien_Carleton,Node_4,13.1252,735,1573,0.244128,3.386294
147,Eolien_Côte-de-Beaupré,Node_28,49.0799,735,1573,0.912887,12.662625
148,Eolien_De l'Érable,Node_23,44.4618,735,1573,0.826990,11.471155
149,Eolien_Des Cultures (Parc Éolien),Node_20,28.6863,735,1573,0.533565,7.401067
150,Eolien_Des Moulins I,Node_30,32.4703,735,1573,0.603947,8.377335
151,Eolien_Des Moulins II,Node_2,72.0798,450,1206,2.090314,20.686898
152,Eolien_Frampton,Node_30,34.2855,735,1573,0.637711,8.845669
153,Eolien_Gros-Morne,Node_3,10.5931,735,1573,0.197032,2.733028
154,Eolien_Jardin d'Éole (Saint-Ulric Saint-Léandre),Node_2,16.6655,735,1573,0.309978,4.299689
155,Eolien_L'Anse-à-Valleau,Node_39,9.6854,735,1573,0.180149,2.498844
156,Eolien_La Dune-du-Nord aux Iles-de-la-Madeleine,Node_39,284.3552,230,996,15.355178,112.604640
157,Eolien_La Mitis,Node_2,32.2461,735,1573,0.599778,8.319504
158,Eolien_Lac Alfred,Node_2,30.0269,735,1573,0.558500,7.746938
159,Eolien_Le Granit,Node_30,58.1976,450,1206,1.687731,16.702722
160,Eolien_Le Nordais (Cap-Chat),Node_3,85.1792,450,1206,2.470196,24.446427
161,Eolien_Le Nordais (Matane),Node_2,23.5231,735,1573,0.437530,6.068967
162,Eolien_Le Plateau I,Node_2,73.1665,450,1206,2.121828,20.998785
163,Eolien_Le Plateau II,Node_2,72.3969,450,1206,2.099511,20.777921
164,Eolien_Le Projet Éoliennes Belle-Rivière (Val-eo),Node_26,48.9550,735,1573,0.910564,12.630400
165,Eolien_Massif du Sud,Node_29,47.8802,735,1573,0.890572,12.353100
166,Eolien_Mesgi'g Ugju's'n,Node_4,40.6844,735,1573,0.756730,10.496573
167,Eolien_Mont Copper,Node_3,26.4791,735,1573,0.492511,6.831605
168,Eolien_Mont Louis,Node_3,2.8445,735,1573,0.052908,0.733885
169,Eolien_Mont Miller,Node_3,24.6548,735,1573,0.458580,6.360950
170,Eolien_Mont Sainte-Marguerite,Node_30,24.3137,735,1573,0.452234,6.272923
171,Eolien_Mont-Rothery,Node_3,28.0441,735,1573,0.521620,7.235369
172,Eolien_Montagne-Sèche,Node_39,19.3192,735,1573,0.359336,4.984343
173,Eolien_Montérégie,Node_20,24.6412,735,1573,0.458327,6.357440
174,Eolien_New Richmond,Node_4,42.8321,735,1573,0.796677,11.050680
175,Eolien_Nicolas-Riou,Node_33,52.7877,450,1206,1.530844,15.150076
176,Eolien_Pierre-De Saurel,Node_18,22.7348,735,1573,0.422867,5.865575
177,Eolien_Raglan Mine,Node_38,607.8881,230,996,32.825955,240.723671
178,Eolien_Rivière-du-Moulin,Node_26,52.9643,450,1206,1.535965,15.200754
179,Eolien_Roncevaux,Node_2,66.6290,450,1206,1.932242,19.122531
180,Eolien_SNEEC,Node_39,24.1811,735,1573,0.449768,6.238720
181,Eolien_Saint-Damase,Node_2,3.2364,735,1573,0.060197,0.834990
182,Eolien_Saint-Philémon,Node_29,52.4656,450,1206,1.521502,15.057627
183,Eolien_Saint-Robert-Bellarmin,Node_30,60.9805,450,1206,1.768435,17.501407
184,Eolien_Seigneurie de Beaupré,Node_28,52.6361,450,1206,1.526447,15.106558
